




Analysis Type:	PANTHER Overrepresentation Test (Released 20190701)
Annotation Version and Release Date:	GO Ontology database  Released 2019-02-02
Analyzed List:	InfAvsB_wk4_down.txt (Bos taurus)
Reference List:	AvsBvsC_filtered_genes.txt (Bos taurus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	AvsBvsC_filtered_genes.txt - REFLIST (12944)	InfAvsB_wk4_down.txt (260)	InfAvsB_wk4_down.txt (expected)	InfAvsB_wk4_down.txt (over/under)	InfAvsB_wk4_down.txt (fold Enrichment)	InfAvsB_wk4_down.txt (raw P-value)	InfAvsB_wk4_down.txt (FDR)
regulation of cell death (GO:0010941)	647	32	13.00	+	2.46	4.99E-06	4.92E-03
ion transport (GO:0006811)	514	25	10.32	+	2.42	8.11E-05	2.82E-02
positive regulation of multicellular organismal process (GO:0051240)	631	29	12.67	+	2.29	6.44E-05	2.63E-02
regulation of multicellular organismal development (GO:2000026)	704	31	14.14	+	2.19	5.52E-05	2.42E-02
multi-organism process (GO:0051704)	676	29	13.58	+	2.14	2.08E-04	4.83E-02
small molecule metabolic process (GO:0044281)	688	29	13.82	+	2.10	2.41E-04	4.83E-02
regulation of multicellular organismal process (GO:0051239)	1132	42	22.74	+	1.85	1.49E-04	4.00E-02
regulation of biological quality (GO:0065008)	1384	50	27.80	+	1.80	4.88E-05	2.31E-02
biological_process (GO:0008150)	8958	207	179.94	+	1.15	2.29E-04	4.68E-02
Unclassified (UNCLASSIFIED)	3986	53	80.06	-	.66	2.29E-04	4.76E-02
