




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-07-03
Analyzed List:	upload_1 (Bos taurus)
Reference List:	AvsBvsC_filtered_genes.txt (Bos taurus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	AvsBvsC_filtered_genes.txt - REFLIST (12944)	upload_1 (526)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of transport (GO:0051050)	322	30	13.08	+	2.29	6.24E-05	1.28E-02
regulation of programmed cell death (GO:0043067)	599	54	24.34	+	2.22	2.09E-07	1.31E-04
regulation of cell death (GO:0010941)	638	57	25.93	+	2.20	9.41E-08	6.61E-05
regulation of apoptotic process (GO:0042981)	585	52	23.77	+	2.19	4.81E-07	2.87E-04
regulation of immune response (GO:0050776)	324	28	13.17	+	2.13	3.75E-04	4.81E-02
multi-organism process (GO:0051704)	749	63	30.44	+	2.07	1.66E-07	1.10E-04
cellular response to organic substance (GO:0071310)	732	60	29.75	+	2.02	6.39E-07	3.46E-04
response to organic substance (GO:0010033)	932	76	37.87	+	2.01	2.34E-08	1.99E-05
cellular response to chemical stimulus (GO:0070887)	948	76	38.52	+	1.97	4.88E-08	3.64E-05
response to chemical (GO:0042221)	1273	97	51.73	+	1.88	4.12E-09	4.92E-06
positive regulation of response to stimulus (GO:0048584)	784	59	31.86	+	1.85	1.25E-05	4.39E-03
regulation of transport (GO:0051049)	602	44	24.46	+	1.80	3.45E-04	4.52E-02
regulation of localization (GO:0032879)	976	66	39.66	+	1.66	8.18E-05	1.57E-02
regulation of multicellular organismal process (GO:0051239)	1097	74	44.58	+	1.66	3.50E-05	9.07E-03
response to stress (GO:0006950)	1193	75	48.48	+	1.55	2.40E-04	3.40E-02
regulation of response to stimulus (GO:0048583)	1511	93	61.40	+	1.51	8.31E-05	1.57E-02
response to stimulus (GO:0050896)	2874	175	116.79	+	1.50	1.43E-08	1.55E-05
signaling (GO:0023052)	1576	95	64.04	+	1.48	1.47E-04	2.40E-02
cell communication (GO:0007154)	1621	96	65.87	+	1.46	2.31E-04	3.32E-02
cellular response to stimulus (GO:0051716)	2311	129	93.91	+	1.37	1.68E-04	2.60E-02
cellular macromolecule metabolic process (GO:0044260)	2485	65	100.98	-	.64	5.22E-05	1.20E-02
organelle organization (GO:0006996)	1373	25	55.79	-	.45	3.62E-06	1.73E-03
RNA metabolic process (GO:0016070)	709	11	28.81	-	.38	2.28E-04	3.32E-02
nucleic acid metabolic process (GO:0090304)	1045	14	42.47	-	.33	5.20E-07	2.95E-04
chromosome organization (GO:0051276)	490	2	19.91	-	.10	1.13E-06	5.88E-04
chromatin organization (GO:0006325)	319	1	12.96	-	.08	5.81E-05	1.28E-02
RNA processing (GO:0006396)	392	1	15.93	-	.06	3.99E-06	1.83E-03
