




Analysis Type:	PANTHER Overrepresentation Test (Released 20190701)
Annotation Version and Release Date:	GO Ontology database  Released 2019-02-02
Analyzed List:	InfAvsB_wk10_down.txt (Bos taurus)
Reference List:	AvsBvsC_filtered_genes.txt (Bos taurus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	AvsBvsC_filtered_genes.txt - REFLIST (12944)	InfAvsB_wk10_down.txt (528)	InfAvsB_wk10_down.txt (expected)	InfAvsB_wk10_down.txt (over/under)	InfAvsB_wk10_down.txt (fold Enrichment)	InfAvsB_wk10_down.txt (raw P-value)	InfAvsB_wk10_down.txt (FDR)
response to other organism (GO:0051707)	302	36	12.32	+	2.92	4.90E-08	7.25E-05
response to external biotic stimulus (GO:0043207)	302	36	12.32	+	2.92	4.90E-08	6.44E-05
immune effector process (GO:0002252)	185	22	7.55	+	2.92	2.11E-05	6.93E-03
regulation of innate immune response (GO:0045088)	136	16	5.55	+	2.88	3.08E-04	4.28E-02
response to bacterium (GO:0009617)	192	22	7.83	+	2.81	3.53E-05	9.49E-03
response to biotic stimulus (GO:0009607)	317	36	12.93	+	2.78	1.47E-07	1.45E-04
regulation of growth (GO:0040008)	227	25	9.26	+	2.70	1.94E-05	6.55E-03
positive regulation of immune system process (GO:0002684)	374	39	15.26	+	2.56	3.86E-07	3.05E-04
regulation of secretion by cell (GO:1903530)	233	24	9.50	+	2.53	1.06E-04	1.96E-02
response to cytokine (GO:0034097)	351	36	14.32	+	2.51	1.52E-06	9.47E-04
immune system process (GO:0002376)	785	80	32.02	+	2.50	5.49E-13	6.50E-09
positive regulation of immune response (GO:0050778)	236	24	9.63	+	2.49	1.17E-04	2.08E-02
response to lipid (GO:0033993)	229	23	9.34	+	2.46	1.87E-04	2.99E-02
regulation of secretion (GO:0051046)	248	24	10.12	+	2.37	1.97E-04	3.07E-02
regulation of cytokine production (GO:0001817)	306	29	12.48	+	2.32	7.49E-05	1.61E-02
cellular response to cytokine stimulus (GO:0071345)	320	30	13.05	+	2.30	6.07E-05	1.38E-02
regulation of immune response (GO:0050776)	343	32	13.99	+	2.29	3.48E-05	9.58E-03
regulation of immune system process (GO:0002682)	592	54	24.15	+	2.24	1.19E-07	1.28E-04
positive regulation of transport (GO:0051050)	330	30	13.46	+	2.23	9.09E-05	1.79E-02
response to external stimulus (GO:0009605)	593	51	24.19	+	2.11	1.80E-06	1.07E-03
cellular response to organic substance (GO:0071310)	755	63	30.80	+	2.05	2.10E-07	1.92E-04
regulation of apoptotic process (GO:0042981)	590	49	24.07	+	2.04	8.09E-06	3.68E-03
regulation of programmed cell death (GO:0043067)	605	50	24.68	+	2.03	6.38E-06	3.02E-03
regulation of cell death (GO:0010941)	647	53	26.39	+	2.01	4.75E-06	2.56E-03
response to organic substance (GO:0010033)	957	78	39.04	+	2.00	1.50E-08	2.96E-05
cellular response to chemical stimulus (GO:0070887)	975	79	39.77	+	1.99	1.82E-08	3.08E-05
response to chemical (GO:0042221)	1327	101	54.13	+	1.87	3.23E-09	7.65E-06
positive regulation of multicellular organismal process (GO:0051240)	631	46	25.74	+	1.79	3.24E-04	4.41E-02
positive regulation of response to stimulus (GO:0048584)	798	58	32.55	+	1.78	3.71E-05	9.54E-03
regulation of multicellular organismal process (GO:0051239)	1132	74	46.18	+	1.60	9.22E-05	1.79E-02
regulation of response to stimulus (GO:0048583)	1617	99	65.96	+	1.50	5.97E-05	1.44E-02
regulation of biological quality (GO:0065008)	1384	84	56.45	+	1.49	3.46E-04	4.55E-02
response to stimulus (GO:0050896)	2934	175	119.68	+	1.46	8.70E-08	1.03E-04
cellular macromolecule metabolic process (GO:0044260)	2439	62	99.49	-	.62	1.75E-05	6.29E-03
organelle organization (GO:0006996)	1375	26	56.09	-	.46	5.72E-06	2.94E-03
cellular macromolecule biosynthetic process (GO:0034645)	719	11	29.33	-	.38	1.71E-04	2.81E-02
RNA metabolic process (GO:0016070)	686	10	27.98	-	.36	1.76E-04	2.85E-02
nucleic acid metabolic process (GO:0090304)	1019	13	41.57	-	.31	2.62E-07	2.22E-04
chromosome organization (GO:0051276)	482	2	19.66	-	.10	1.08E-06	7.52E-04
chromatin organization (GO:0006325)	324	1	13.22	-	.08	6.02E-05	1.43E-02
RNA processing (GO:0006396)	370	1	15.09	-	.07	8.61E-06	3.77E-03
histone modification (GO:0016570)	215	0	8.77	-	 < 0.01	2.83E-04	4.14E-02
covalent chromatin modification (GO:0016569)	217	0	8.85	-	 < 0.01	2.85E-04	4.12E-02
