genes	logFC	logCPM	LR	PValue	FDR		
AGMAT	1.581906935	3.445523128	22.71996207	1.87411E-06	0.000301995		
STK3	0.997718219	4.053958076	22.71156783	1.88231E-06	0.000301995		
CXCL10	2.11686472	3.971494335	22.50681276	2.094E-06	0.000332224		
CFAP69	2.492330345	1.151327339	22.41660795	2.19468E-06	0.000344372		
CCR2	0.900981773	6.892404079	22.3884671	2.22707E-06	0.000345656		
LOC104974257	2.061288741	2.756118528	22.33469995	2.2903E-06	0.000351648		
ACE	2.688584559	2.503353253	22.23152746	2.41673E-06	0.000367111		
LOC526745	3.90212602	-0.714479741	22.16340243	2.50402E-06	0.000376367		
C2	2.770502995	5.785199433	22.10242451	2.58483E-06	0.000384467		
PAQR8	0.658029149	4.744486868	22.05288856	2.6524E-06	0.00039045		
LOC614141	1.893234301	3.798144727	21.88875247	2.88922E-06	0.000417227		
FCGR3A	1.677424915	8.161430785	21.88641681	2.89274E-06	0.000417227		
MX2	2.151341197	7.002411503	21.78216926	3.05425E-06	0.000436117		
PIP4K2A	0.678284732	7.526665974	21.7562774	3.09575E-06	0.000436605		
AKAP7	0.888610987	3.980185471	21.74203269	3.11882E-06	0.000436605		
MAP2	1.391396208	5.078641118	21.6365994	3.29504E-06	0.000456795		
ATP8B4	0.969830329	6.07599988	21.60789375	3.34472E-06	0.000459224		
LOC101904239	1.077961996	2.462891132	21.54192265	3.46178E-06	0.000470769		
IL27	1.8804352	2.088571944	21.51942031	3.50264E-06	0.000471831		
CTSZ	1.15720273	7.371957973	21.30502546	3.91703E-06	0.000522723		
CRLF2	2.242490368	3.092012575	21.2541918	4.0223E-06	0.0005318		
TSPAN33	1.584766759	3.133780711	21.23337574	4.06622E-06	0.000532675		
CROT	1.396903766	4.187018293	21.20634783	4.12396E-06	0.000535328		
LOC783920	1.309043869	8.74603898	21.11068828	4.33503E-06	0.0005559		
MT2A	2.156771669	2.290197096	21.09955099	4.3603E-06	0.0005559		
DENND2A	2.726071493	3.198156034	21.07658126	4.41288E-06	0.000557625		
SLAMF8	2.556803205	2.291292753	21.0123248	4.56338E-06	0.000570775		
CNKSR3	1.905579074	0.408391855	20.99830554	4.5969E-06	0.000570775		
RNF19B	0.692484972	6.478848292	20.87775611	4.89547E-06	0.000602607		
IVD	0.567266911	6.416905682	20.84544832	4.97874E-06	0.000607619		
TMEM106A	0.605747274	5.992463075	20.81423538	5.06054E-06	0.000612368		
AP1M2	1.927740508	0.503266295	20.75379552	5.2228E-06	0.000622707		
LGMN	0.737577173	7.514072924	20.74998626	5.2332E-06	0.000622707		
TMEM51	1.908057708	3.052691191	20.70365986	5.36134E-06	0.000625924		
PSAP	0.793078364	10.5213626	20.70065226	5.36977E-06	0.000625924		
CNTLN	1.154282365	2.063815954	20.69283439	5.39174E-06	0.000625924		
BHLHE41	-0.875350658	3.307132575	20.66423312	5.47288E-06	0.00063022		
LTBR	1.07773274	4.395418504	20.64529045	5.5273E-06	0.00063091		
LOC107131142	1.595113763	3.272272645	20.6315044	5.56724E-06	0.00063091		
POR	0.521173728	5.563099382	20.6010534	5.6565E-06	0.000635977		
PLCD3	2.217142172	-0.624521062	20.56806121	5.75483E-06	0.000641978		
ATP1B3	0.774058331	6.396157741	20.52229324	5.89408E-06	0.000649959		
ALDOC	0.827551226	5.901458247	20.51473246	5.9174E-06	0.000649959		
SLC16A1	0.661473207	5.693681193	20.47890441	6.02921E-06	0.000657184		
ACVRL1	1.214850405	5.55388556	20.46330979	6.07854E-06	0.000657541		
LOC107132762	-2.944452246	1.721790611	20.32892692	6.52073E-06	0.000700071		
UNC5A	-2.465933264	-0.271051619	20.21036983	6.93758E-06	0.000739267		
GLRX2	0.916279509	4.675148506	20.08951235	7.39008E-06	0.000781652		
LGALS3BP	0.592009441	6.413410019	19.9428092	7.97935E-06	0.000837773		
GJA10	2.358094065	3.487165572	19.86313015	8.31894E-06	0.000867052		
MGC139164	-0.513293069	8.009800911	19.81636079	8.52498E-06	0.000880294		
MAPRE2	0.924891513	8.153126537	19.80645354	8.56929E-06	0.000880294		
LOC101905734	-1.139762566	1.848783921	19.77592857	8.70724E-06	0.000888076		
HPGD	-1.718678925	3.713524792	19.71644574	8.9825E-06	0.000909654		
CPED1	1.456098736	2.488754165	19.67703748	9.16966E-06	0.000920468		
P2RY1	1.459133241	5.104023392	19.66694614	9.21822E-06	0.000920468		
IDH1	0.765635329	5.138789788	19.6342212	9.37745E-06	0.000924672		
ASAH1	0.676943482	6.621152257	19.63169904	9.38984E-06	0.000924672		
MVP	0.692440987	7.232462112	19.56854268	9.70541E-06	0.000949203		
LOC101907799	2.511870222	4.124866156	19.50080936	1.00557E-05	0.000967572		
MERTK	2.172063034	2.877655575	19.49487611	1.0087E-05	0.000967572		
SEPN1	0.772255795	4.714940074	19.49307129	1.00965E-05	0.000967572		
ERO1A	0.619248828	5.99840177	19.45439808	1.0303E-05	0.00098078		
COL5A3	3.296247501	-0.038525124	19.43893609	1.03868E-05	0.000982204		
LOC508153	0.572038288	6.932044069	19.36995322	1.07688E-05	0.001011631		
MFSD2B	1.130603879	3.498588398	19.32312332	1.10362E-05	0.001029971		
SIGLEC1	1.75446798	2.069138246	19.2742189	1.13225E-05	0.00104983		
ARPIN	1.328081101	1.114072867	19.20593378	1.17348E-05	0.001081041		
ARSG	-1.952430841	5.938102216	19.14931648	1.20881E-05	0.001106447		
ALDH1A1	2.36601935	0.225641351	19.08595917	1.24961E-05	0.001136507		
MAPKAPK3	0.835144699	5.727929665	19.03073716	1.2863E-05	0.00116247		
PPARGC1B	0.975712074	4.649715634	18.98871905	1.31494E-05	0.001177593		
ZC3H12C	0.749980416	4.386875546	18.98207179	1.31952E-05	0.001177593		
ZAN	-1.543600985	-0.057399986	18.96112237	1.33409E-05	0.001182836		
LYSMD1	1.096653617	4.411682748	18.94234294	1.34729E-05	0.001182836		
P2RY10	-0.489832282	6.140267787	18.93600478	1.35177E-05	0.001182836		
CRAT	0.562442886	5.12852504	18.92648571	1.35853E-05	0.001182836		
LOC104976500	1.786176454	3.538746878	18.84400764	1.41856E-05	0.001227614		
EXOC3L2	1.59021145	0.665477572	18.75528013	1.48611E-05	0.001270834		
MOV10	0.55840976	6.37378045	18.75351255	1.48749E-05	0.001270834		
CDH10	2.253484908	4.466886511	18.7374661	1.50006E-05	0.001270834		
ATP1A1	0.768197859	7.669550878	18.71973468	1.51407E-05	0.001270834		
IL1R2	-1.438501062	2.737095909	18.71743612	1.5159E-05	0.001270834		
PEPD	0.55292529	6.000632377	18.70989916	1.5219E-05	0.001270834		
TNFSF13B	1.430963062	1.514198737	18.69295355	1.53549E-05	0.001274723		
EPHX2	1.007552016	4.091294243	18.66249758	1.56021E-05	0.001287761		
AKAP1	0.504493368	5.482616051	18.62044548	1.59501E-05	0.001308915		
CRYBG3	1.369231046	1.69504243	18.5677684	1.6397E-05	0.001334093		
DHRS9	-1.2161193	3.239317185	18.56233645	1.64438E-05	0.001334093		
ARHGEF12	0.768593728	4.268232618	18.52980281	1.67268E-05	0.001349392		
ANKRD33	2.208296931	-0.484675089	18.50613934	1.69358E-05	0.001351503		
STOM	0.852703012	7.388746225	18.50181471	1.69743E-05	0.001351503		
CHCHD10	1.922442368	1.247607698	18.49478897	1.70369E-05	0.001351503		
RRAS	1.113573261	2.616531506	18.47310803	1.72319E-05	0.001359413		
TESK2	0.745934356	4.146244674	18.44089372	1.75256E-05	0.001374992		
PREB	0.561202833	5.961363622	18.34698618	1.8411E-05	0.001436561		
ZNF672	0.937044845	3.44844228	18.3046871	1.88243E-05	0.001460831		
BCL2L15	1.392191743	6.112282092	18.28793788	1.89906E-05	0.001465765		
BATF2	3.090072137	4.560139857	18.24322753	1.94416E-05	0.001492508		
LOC781977	1.934679379	3.977445773	18.21645895	1.97168E-05	0.001505538		
COX7C	1.115225373	6.074638411	18.19726566	1.99165E-05	0.001512697		
DYNLL1	0.785723539	6.851520786	18.08150553	2.11647E-05	0.001599001		
SLC25A17	0.864964072	5.062773476	17.98767396	2.2234E-05	0.001670944		
STX2	0.972735344	6.272975701	17.9515042	2.26605E-05	0.00169253		
LOC101907127	-0.832333793	2.746488536	17.94330941	2.27583E-05	0.00169253		
ZFYVE9	0.588237042	4.576364162	17.92479118	2.29808E-05	0.001693476		
TMEM150B	1.199938919	3.646576026	17.91920322	2.30484E-05	0.001693476		
CMPK2	1.441428761	5.270040489	17.91273659	2.31268E-05	0.001693476		
SYNJ2BP	0.676582542	5.287561212	17.88794994	2.343E-05	0.001698324		
GAS2L1	1.043626349	4.554178874	17.8878766	2.34309E-05	0.001698324		
ACSS2	0.488646153	5.514089228	17.85277838	2.38671E-05	0.00171969		
LOC107131831	2.413497423	0.192239917	17.83767669	2.40572E-05	0.00171969		
RBPMS2	2.371213872	2.300993464	17.83532426	2.4087E-05	0.00171969		
LOC504861	1.254748582	3.669860341	17.81941709	2.42892E-05	0.001725499		
C10H15orf52	1.355919287	2.226166143	17.78535471	2.47279E-05	0.001739472		
SDHAF2	0.729158177	6.048985247	17.78523274	2.47295E-05	0.001739472		
HES4	1.76605835	4.068259029	17.74670261	2.52355E-05	0.001766358		
GCLM	0.712609785	4.183653095	17.72610798	2.55101E-05	0.001776874		
LARGE	1.324217286	2.297529917	17.66554055	2.63355E-05	0.001825457		
SOCS1	1.119369093	2.498268036	17.62444487	2.69107E-05	0.001856318		
ACER3	0.941426417	4.059938835	17.5253883	2.83497E-05	0.001936697		
GPR183	-0.495652501	6.940654004	17.51425362	2.85162E-05	0.001936697		
SNX33	1.222187269	0.554580928	17.5124808	2.85428E-05	0.001936697		
LOC101903157	1.451462436	3.462361778	17.50744611	2.86185E-05	0.001936697		
MMP19	0.956405031	3.354644125	17.47294962	2.91425E-05	0.001962856		
GRAMD1C	0.738039045	5.255487482	17.45149963	2.94732E-05	0.001975809		
ZCCHC14	1.609854266	1.413363882	17.43387222	2.97477E-05	0.001984897		
BDH2	-1.146350223	2.925572157	17.422551	2.99254E-05	0.001987467		
LOC100140121	-1.201871871	0.401985621	17.29040339	3.20803E-05	0.002120715		
LOC783613	0.800700958	6.31482346	17.28003168	3.22559E-05	0.002122496		
FAM20A	1.122811263	2.630425888	17.25497433	3.26841E-05	0.002131193		
LOC104971180	1.432600261	1.303140714	17.2548301	3.26866E-05	0.002131193		
IGSF8	0.789953467	5.189000355	17.23820059	3.29739E-05	0.002140156		
APPL2	-0.476326324	5.738743877	17.22539204	3.3197E-05	0.002144884		
TMBIM1	0.840337859	5.588579155	17.21356331	3.34043E-05	0.002148558		
FOXS1	1.472834359	2.990043438	17.18104665	3.3981E-05	0.002154488		
PARP3	1.032728669	3.787728019	17.1754241	3.40817E-05	0.002154488		
LOC529196	1.058858566	4.326996913	17.17459016	3.40967E-05	0.002154488		
ARL5C	-0.677432464	4.867133173	17.16946449	3.41888E-05	0.002154488		
ADPGK	0.520429633	5.071975927	17.16320464	3.43017E-05	0.002154488		
LOC784058	0.78935166	6.199048239	17.15766726	3.44018E-05	0.002154488		
PTPRO	1.683578805	1.963245065	17.1215874	3.50615E-05	0.002181221		
NAE1	-0.420601569	5.280657575	17.11765609	3.51342E-05	0.002181221		
ACSL5	0.711318296	7.491104442	17.10507735	3.53676E-05	0.002181292		
TRIM21	0.531550325	6.135262049	17.10114956	3.54408E-05	0.002181292		
DMBT1	3.993171243	2.151191553	17.07247435	3.598E-05	0.002204974		
ARHGAP21	0.77793483	4.140435077	17.02201215	3.6949E-05	0.00224312		
SEC23A	0.52168282	5.421317628	17.01909432	3.70058E-05	0.00224312		
LOC100848006	-1.10813372	4.854835277	17.01561005	3.70738E-05	0.00224312		
LOC107132435	-1.160097146	0.56891196	16.99624856	3.74537E-05	0.002256549		
ZBED5	-0.400255131	5.438979364	16.98007065	3.77742E-05	0.002266296		
CA2	1.434395093	2.849845146	16.96696817	3.80358E-05	0.002272443		
NPHP1	0.688189055	4.094602359	16.9409521	3.85607E-05	0.002294199		
FOXO4	-0.509788534	4.991570584	16.92472402	3.88917E-05	0.002304294		
CD300LB	1.169897496	4.610706363	16.91625395	3.90656E-05	0.002305034		
EHD4	0.854359468	3.473688859	16.85093222	4.04335E-05	0.002369102		
LOC101902838	2.082700656	3.162410406	16.84859457	4.04833E-05	0.002369102		
CTSS	0.892282222	9.399224747	16.83309527	4.08153E-05	0.00237878		
GLB1L	1.105521189	1.579915759	16.79022206	4.17479E-05	0.00242319		
CLIC2	1.913808034	0.837652897	16.78256512	4.19167E-05	0.00242319		
LOC101905447	0.799244397	5.941175698	16.76819008	4.22354E-05	0.002431772		
HIST1H2BD	0.915360294	4.183665337	16.74121268	4.28402E-05	0.002456688		
HRH1	1.356083394	2.612457299	16.70612645	4.36398E-05	0.002490184		
SMPD3	-1.97083886	2.043415014	16.70034199	4.37731E-05	0.002490184		
PLOD1	0.675704833	4.269807718	16.67971661	4.42516E-05	0.002507416		
SLC2A6	0.974514012	5.752804982	16.61965934	4.56751E-05	0.002575954		
TRIM14	0.570232703	5.447901981	16.60723202	4.59754E-05	0.002575954		
AKAP2	0.968362101	5.163375834	16.60611726	4.60024E-05	0.002575954		
MPP1	0.630494253	6.828319519	16.54589764	4.74866E-05	0.002648677		
LOC790312	0.945856146	4.160338973	16.53125352	4.78548E-05	0.002658781		
TICAM2	0.531961727	4.925985346	16.52392121	4.80402E-05	0.002658781		
TRIM47	1.357611493	3.764180232	16.51277664	4.83233E-05	0.002664128		
URI1	0.441585063	6.022948307	16.49976298	4.86562E-05	0.002672159		
CHP1	0.762917942	6.144810986	16.48494722	4.90379E-05	0.002682803		
SLC46A2	0.882570058	5.712725233	16.47669202	4.92518E-05	0.002684225		
P2RX1	1.647735028	3.456956527	16.46648572	4.95177E-05	0.002688454		
CDC42BPB	1.565581108	1.645668913	16.4482079	4.99974E-05	0.002696731		
LRRC28	0.965279402	4.563150144	16.4462956	5.00479E-05	0.002696731		
LOC515676	4.636256851	-0.300252729	16.42433386	5.06311E-05	0.002717899		
MAG	1.574211637	0.981854487	16.40658322	5.11074E-05	0.002733194		
LOC107131330	2.114112149	1.485703347	16.27463147	5.47926E-05	0.002919343		
OBSL1	-1.143516654	3.484987979	16.20609105	5.68112E-05	0.003015638		
SRSF5	-0.548768919	8.652656569	16.18186374	5.75424E-05	0.003038226		
MYO9A	0.674836003	5.335942919	16.17792246	5.76623E-05	0.003038226		
FZD2	3.388661626	-0.87415004	16.16202001	5.81484E-05	0.003044586		
MOB1B	0.623892486	5.75337468	16.15989474	5.82137E-05	0.003044586		
PCYT1A	0.487253555	5.924592163	16.15310817	5.84226E-05	0.003044586		
FKBP15	0.452812858	6.460207068	16.14453736	5.86876E-05	0.003047273		
OAF	0.942808969	2.209063582	16.12915912	5.9166E-05	0.003060985		
SMTN	0.776903229	2.640805234	16.06431205	6.12271E-05	0.00315618		
LPIN3	0.951487252	2.040045781	16.04374568	6.18957E-05	0.00317917		
CAPRIN2	-0.654396587	3.50806775	16.0339521	6.22167E-05	0.003184202		
TAP1	0.527288242	8.733255895	16.014979	6.28433E-05	0.003204784		
AQP9	1.22127577	3.468770708	15.99925655	6.33674E-05	0.003220009		
ATG7	0.550908304	4.943036007	15.96779238	6.44293E-05	0.003262364		
TTYH3	0.623505225	6.155932188	15.96056772	6.46757E-05	0.003263267		
MPV17L	2.072657848	0.150481238	15.89914873	6.68088E-05	0.003359022		
DAAM1	0.568228229	5.276642516	15.88985995	6.71375E-05	0.003359908		
LOC101902705	-0.566516075	3.958486993	15.8853682	6.7297E-05	0.003359908		
CLIP1	0.636631922	7.039169295	15.86485669	6.80303E-05	0.003384687		
C3H1orf54	1.186388317	2.805852894	15.81960908	6.96767E-05	0.003454559		
NR1H3	1.178324433	4.821906373	15.79666258	7.05268E-05	0.00348461		
LOC107132458	-1.23455997	1.813856643	15.76463274	7.1731E-05	0.003531884		
PYCARD	0.930259267	5.688845449	15.75697158	7.2022E-05	0.00353403		
TIMP2	0.875526087	6.547350747	15.73705135	7.27844E-05	0.003559209		
NACC2	1.119872124	3.324955392	15.70214346	7.41401E-05	0.003613024		
PWWP2B	1.179171893	1.887561286	15.69575344	7.4391E-05	0.003613024		
ALOX15	-1.774794142	5.18351495	15.68930748	7.4645E-05	0.003613069		
CCDC187	0.995863859	3.644018159	15.66484274	7.56168E-05	0.003647743		
CPNE5	-1.483137463	0.553989121	15.65208148	7.61287E-05	0.003660075		
LIMS1	0.852251543	7.312085556	15.61458424	7.76533E-05	0.00371033		
CDHR5	4.863532784	1.015136606	15.61360143	7.76937E-05	0.00371033		
MTHFD2	0.656999424	4.781044943	15.59211588	7.85816E-05	0.003740221		
GLRX5	0.707365606	4.325553618	15.56119672	7.98772E-05	0.003789257		
SPRED1	1.048126718	1.906960298	15.54616032	8.0515E-05	0.003806867		
SPHK1	0.778141713	5.521089536	15.48311773	8.32454E-05	0.003922976		
CLASP1	0.577067559	6.169350007	15.45660476	8.44214E-05	0.003959763		
WDR35	-1.131556215	3.199758354	15.45304202	8.45807E-05	0.003959763		
IFFO1	0.671452169	5.442678264	15.44067818	8.51358E-05	0.003972727		
RBCK1	0.493530836	7.226327768	15.42371766	8.59033E-05	0.003991821		
GNAQ	0.911271504	3.461853062	15.41930555	8.61041E-05	0.003991821		
GBP5	1.423871156	5.909577495	15.4089529	8.65771E-05	0.00400076		
ZAK	0.468622055	5.115489427	15.38097511	8.78685E-05	0.004047339		
DDR2	-1.031647644	1.915184061	15.34792363	8.94191E-05	0.004092901		
AMPD3	-1.01886713	5.767626009	15.34192488	8.97035E-05	0.004092901		
C23H6orf229	-0.714952322	2.617158529	15.33984209	8.98025E-05	0.004092901		
GPER1	3.006461682	-0.735156837	15.3346145	9.00513E-05	0.004092901		
LYPD8	-1.597029996	-0.106613155	15.32959423	9.02909E-05	0.004092901		
C8H9orf72	0.687386305	5.03614824	15.30718691	9.13682E-05	0.00412863		
SCPEP1	0.563584334	7.152306027	15.26868013	9.32499E-05	0.004186523		
PARP10	0.627540234	6.895452883	15.26826724	9.32703E-05	0.004186523		
LOC100848940	-0.539910708	9.857098113	15.26303563	9.3529E-05	0.004186523		
DRAM1	0.944005986	4.118247259	15.21733211	9.58199E-05	0.004275665		
NAGK	0.486869813	6.496335373	15.19370971	9.70261E-05	0.004315998		
PAM	0.867796125	6.725399134	15.1824602	9.76058E-05	0.004328303		
SPG20	1.028750757	3.605036482	15.16713026	9.84015E-05	0.004347083		
LOC509029	2.291733313	0.096935118	15.16259381	9.86382E-05	0.004347083		
VDAC1	0.541925082	6.265803146	15.15005625	9.92954E-05	0.00436258		
NOD1	0.868605881	4.291457643	15.11899875	0.000100942	0.004421334		
SPOCK2	-0.475569671	9.238958292	15.10225206	0.000101842	0.004442798		
LPAR5	0.760558814	2.980198117	15.09430315	0.000102271	0.004442798		
RSAD2	1.891470489	5.592755465	15.09256377	0.000102366	0.004442798		
ABHD5	0.664159078	4.889740337	15.07384351	0.000103386	0.00447348		
KREMEN1	-1.204227459	2.793092146	15.04578927	0.000104934	0.004526749		
MMP14	2.530056904	-0.016705665	15.01744866	0.000106522	0.004581396		
SDC3	1.458724073	0.871913672	15.00290982	0.000107346	0.004602963		
ARHGAP32	2.456500134	0.133481949	14.98780328	0.000108208	0.004626067		
LOC101906756	-0.452770603	4.867465186	14.97787635	0.000108779	0.004636585		
LOC518134	-1.080458435	3.993460665	14.96267696	0.000109659	0.004647562		
FERMT3	0.519698659	7.521998042	14.96218289	0.000109688	0.004647562		
IL12B	-1.432051872	1.501745884	14.94728896	0.000110557	0.004670534		
LAMP1	0.748675507	8.52287391	14.91585631	0.000112414	0.00473499		
MUC19	1.777454453	0.440872871	14.86964986	0.000115202	0.004829303		
F13A1	0.750481256	10.2175538	14.86755523	0.00011533	0.004829303		
COLGALT1	0.525853098	6.516498143	14.84927799	0.000116453	0.004862068		
LOC104969545	-1.082285976	2.29070061	14.83447395	0.00011737	0.004886094		
DPAGT1	0.623420817	4.549460759	14.82684183	0.000117846	0.004891645		
S1PR1	-0.518628961	7.842031493	14.81219666	0.000118765	0.00491549		
GBP4	1.110908361	5.269164268	14.79762161	0.000119686	0.004939311		
TBC1D8B	1.008526485	2.307808498	14.78745888	0.000120333	0.00495169		
ADAM17	0.431285177	6.048337513	14.75616846	0.000122347	0.005010068		
ATP11A	0.691170363	5.440594343	14.74712529	0.000122935	0.005010068		
PSRC1	-1.160212608	0.456328218	14.74473046	0.000123091	0.005010068		
LOC512869	1.139134611	3.74641196	14.74374751	0.000123155	0.005010068		
LOC512286	0.742122532	6.0478942	14.73347126	0.000123828	0.005023139		
CDH13	1.897625101	2.124251248	14.72020716	0.000124703	0.005044273		
SNX15	0.671551633	3.955642078	14.69747746	0.000126215	0.005091037		
PNP	0.873092125	7.710409943	14.67700003	0.000127594	0.005132145		
