genes	logFC	logCPM	LR	PValue	FDR	
SNX10	-1.463066867	7.940153364	27.89676216	1.27964E-07	4.04059E-05	
KLF17	2.829458585	-0.029703308	27.71327624	1.40694E-07	4.19021E-05	
LOC101906694	-3.230542315	5.365721341	27.70419943	1.41356E-07	4.19021E-05	
CYTH3	0.894474728	4.617563051	27.7041858	1.41357E-07	4.19021E-05	
LOC100849762	1.9777259	1.496928839	27.44418054	1.61695E-07	4.69723E-05	
SOX13	1.425184556	7.19278241	27.38699881	1.66547E-07	4.74333E-05	
LOC100300760	1.806024987	3.090606444	27.33840737	1.70785E-07	4.74369E-05	
NR1H3	-1.507885042	4.812389096	27.31246833	1.73092E-07	4.74369E-05	
NCAM2	2.681619419	1.94938584	27.15804209	1.87484E-07	4.97844E-05	
TSPAN33	-1.657768627	3.119596352	27.14746518	1.88512E-07	4.97844E-05	
WNT5A	2.307039196	4.554726945	27.06308681	1.96923E-07	5.10768E-05	
STX2	-1.162942135	6.276796708	26.77236091	2.28888E-07	5.76368E-05	
HR	1.560801376	1.546162047	26.76173034	2.3015E-07	5.76368E-05	
ACVRL1	-1.381854831	5.550365238	26.60037376	2.50195E-07	6.15782E-05	
LOC104975694	1.18733374	5.263196132	26.56842093	2.54368E-07	6.15782E-05	
PSD3	1.660090333	2.796307762	26.34111826	2.86132E-07	6.72205E-05	
MVB12B	0.961407517	5.144069857	26.33573207	2.86931E-07	6.72205E-05	
LOC100847951	2.010919665	3.554172111	26.03991479	3.34431E-07	7.7105E-05	
LOC100337168	1.923775629	0.937279401	25.67311596	4.04422E-07	9.17848E-05	
LGALSL	-1.723319404	7.206478597	25.33138059	4.8279E-07	0.000107647	
LOC751789	1.745240795	3.519422865	25.27869592	4.96159E-07	0.000107647	
OCIAD2	-0.957256084	4.379442554	25.2771897	4.96546E-07	0.000107647	
CD180	-1.271560269	5.485122009	25.08534368	5.48482E-07	0.000116736	
LOC100849587	1.80826108	0.652676098	25.04930717	5.58828E-07	0.000116736	
CD276	1.615953684	3.239533629	25.03639974	5.62582E-07	0.000116736	
LOC100337090	1.498201538	4.737733104	24.75860578	6.4978E-07	0.00013293	
OSBPL6	1.265110799	4.562498499	24.69691228	6.70916E-07	0.000135348	
HIGD1A	-0.766215335	5.338763619	24.40519364	7.8058E-07	0.000155314	
FAM188A	-2.510431264	9.410700764	24.3190171	8.16292E-07	0.000160225	
GJA10	-2.679215011	3.494379481	24.23653566	8.52006E-07	0.000165005	
RPS6KA2	0.794012263	5.156084343	24.11632338	9.06883E-07	0.000173322	
ADGRA1	2.305776181	0.397773604	24.0750354	9.26537E-07	0.000174779	
GNG11	-2.433402988	8.684368105	23.9468796	9.90307E-07	0.000184413	
ANXA3	-1.11085498	7.863875211	23.84590759	1.04364E-06	0.000191884	
LOC104973085	1.79690647	3.975715001	23.74716837	1.09857E-06	0.000197323	
ID1	-2.882541028	1.50969594	23.74397821	1.10039E-06	0.000197323	
BCL2A1	-0.866268914	5.423460876	23.66497403	1.1465E-06	0.000202074	
ABCA2	1.058444432	5.468120818	23.65124687	1.15471E-06	0.000202074	
PECAM1	-1.037943313	5.353353834	23.5954994	1.18865E-06	0.000205538	
SH3BGRL	-1.186654804	8.060750835	23.47013291	1.26868E-06	0.000214684	
LOC104975876	-3.592114471	-0.618776722	23.46645896	1.27111E-06	0.000214684	
LOC107131142	-1.764966738	3.269838954	23.39415306	1.31979E-06	0.000220344	
CCL19	-3.208838961	-1.084668401	23.31146604	1.37776E-06	0.000227409	
IL7	-1.209635409	2.95610131	23.19482462	1.46391E-06	0.000238913	
LYSMD2	-0.936383169	3.419457144	22.90059518	1.70599E-06	0.000273015	
ADRB3	-2.910917944	1.010483787	22.89557279	1.71045E-06	0.000273015	
CCR5	-1.530257108	3.284439782	22.84573472	1.75538E-06	0.000276823	
FNBP1L	1.297567181	1.926946272	22.82716373	1.77243E-06	0.000276823	
LOC100848407	1.432271035	1.947490725	22.79585085	1.80154E-06	0.000277923	
DYRK3	-2.30299346	3.361992866	22.77864463	1.81774E-06	0.000277923	
LOC101909551	1.704488473	4.012424589	22.74481147	1.85003E-06	0.000279429	
DHRS7	-1.55103266	5.924042447	22.72822713	1.86606E-06	0.000279429	
CLEC1B	-4.612923054	1.673090972	22.70386428	1.88987E-06	0.000280106	
PROM1	1.834028832	1.897094844	22.64319899	1.95049E-06	0.000286171	
ITGA5	0.822018604	5.855837951	22.46127357	2.14423E-06	0.00031145	
WC-7	1.504703699	5.604553295	22.32242061	2.305E-06	0.000331139	
ATP1B3	-0.758752039	6.379471161	22.30551173	2.32538E-06	0.000331139	
ARHGAP5	-1.381478445	3.275998881	22.21150811	2.44206E-06	0.000343793	
C8H9orf72	-0.872187832	5.027583668	22.17999357	2.48247E-06	0.000343793	
SYT4	-1.5435637	2.990947422	22.17784592	2.48525E-06	0.000343793	
SSBP3	0.684280326	6.045690842	22.07071586	2.62788E-06	0.000360094	
AIF1	-1.622800909	7.237339148	21.9706275	2.76855E-06	0.000375824	
CDKN1A	-1.3369641	4.708208802	21.85740672	2.93681E-06	0.000394973	
LOC107132962	-1.663294975	3.197994313	21.83159555	2.97658E-06	0.00039665	
LYPLA1	-0.566142449	6.0564183	21.76829761	3.07642E-06	0.000406227	
ZBP1	-1.432356012	6.23651939	21.72676941	3.14374E-06	0.000411376	
LOC100335205	1.04057343	7.904511434	21.68606975	3.21115E-06	0.000414354	
ECHDC3	0.978915211	4.973848475	21.67867583	3.22355E-06	0.000414354	
CD86	-0.918791055	5.915243836	21.6475569	3.27627E-06	0.000417437	
AK2	-0.624120778	6.522143453	21.60698606	3.34631E-06	0.000422653	
SVIL	0.744011833	5.865943087	21.54935638	3.44838E-06	0.000428109	
LOC526769	-1.694709737	1.997474451	21.54931748	3.44845E-06	0.000428109	
PDLIM1	-2.434519396	6.610288561	21.51052531	3.51892E-06	0.000431785	
EPHX1	1.09568506	4.679091522	21.50041928	3.53751E-06	0.000431785	
LOC513659	-1.676660629	5.967527727	21.47843185	3.57831E-06	0.000433124	
FZD2	-3.445668963	-0.930415678	21.42211263	3.68497E-06	0.000442348	
PLXNB1	1.247815118	2.636471925	21.37008167	3.78634E-06	0.000450792	
NAV2	1.313827603	1.921877407	21.35276016	3.8207E-06	0.000451185	
STX11	-1.416772807	5.623731982	21.30465581	3.91779E-06	0.000457062	
CROT	-1.441639908	4.191722065	21.27647079	3.97582E-06	0.000457062	
TOM1L1	-1.774296341	4.751374886	21.27253435	3.98399E-06	0.000457062	
TRIM58	-1.926861616	4.318638945	21.26660246	3.99634E-06	0.000457062	
PPBP	-3.143433341	5.997199362	21.20981645	4.11651E-06	0.000467127	
MTHFD2	-0.67489781	4.769103627	21.13065644	4.2901E-06	0.000483052	
SCN4B	1.909414633	1.145280799	21.05714279	4.45788E-06	0.000498082	
PNP	-1.124299186	7.68996729	20.97635016	4.64988E-06	0.000515569	
MBOAT1	-0.567593438	6.212749	20.94371088	4.72978E-06	0.000520455	
DENND2A	-2.859331504	3.156976919	20.8933868	4.85568E-06	0.000529911	
SLC45A3	1.457073858	3.355045363	20.86898436	4.91794E-06	0.000529911	
LAMA4	1.64261285	4.569183726	20.86617209	4.92516E-06	0.000529911	
LOC508153	-0.588061246	6.916617889	20.75519945	5.21897E-06	0.000557394	
MAP2	-1.383606824	5.098550339	20.72735957	5.2954E-06	0.000561428	
MYOF	-1.418731051	5.699686237	20.60138979	5.6555E-06	0.00059159	
NAALADL1	1.7666453	1.689129058	20.59941509	5.66134E-06	0.00059159	
PXDN	2.608502044	0.795654694	20.55137596	5.8052E-06	0.000601472	
TIAM1	0.664928653	6.728568446	20.53077609	5.86801E-06	0.000601472	
C3H1orf54	-1.437830536	2.769724205	20.52682545	5.88014E-06	0.000601472	
MAFF	-2.265297803	2.244393611	20.45892356	6.09248E-06	0.000618834	
RGS20	-2.651075877	5.464370742	20.34063667	6.48094E-06	0.00065372	
HK2	-0.971690746	4.681009696	20.24779694	6.80318E-06	0.000681491	
ACE	-2.324363058	2.494433375	20.21862786	6.9077E-06	0.000687222	
TCTN1	1.124727979	4.310236968	20.05235514	7.53507E-06	0.000744536	
LOC786796	2.222250307	4.501131133	19.99972653	7.74532E-06	0.000760141	
ATP1B1	0.807077979	4.986301128	19.96575708	7.88415E-06	0.000768573	
LOC100847999	1.833946938	0.371054857	19.91413763	8.09991E-06	0.000784342	
SBK1	1.147176201	2.494514443	19.87215547	8.27975E-06	0.000796447	
LOC107131700	2.419672589	-0.170153722	19.83987787	8.42075E-06	0.00080468	
MRVI1	-3.412027418	1.329254756	19.78860658	8.64967E-06	0.000821154	
HSD17B12	-0.890059238	6.007267358	19.77067132	8.73122E-06	0.000822579	
LOC104973604	2.767811376	0.268303988	19.76047	8.77795E-06	0.000822579	
LOC789029	1.436185579	1.878841308	19.73198661	8.90975E-06	0.000829578	
CKB	-1.323388621	5.677452102	19.69910831	9.06437E-06	0.000838598	
SLC13A4	-6.009156084	-0.491739303	19.66945042	9.20614E-06	0.000842292	
SLC2A6	-1.157814886	5.740496275	19.66183192	9.24292E-06	0.000842292	
NYNRIN	1.777740916	1.745408371	19.65453974	9.27826E-06	0.000842292	
LOC512684	1.078203762	4.331582369	19.61493223	9.4726E-06	0.000854593	
ADM	-4.167189359	-0.878990629	19.5865965	9.61413E-06	0.000862008	
LOC100337081	-0.919108373	5.489733321	19.5279178	9.91401E-06	0.000883442	
GSR	-0.762735102	5.671176859	19.49198493	1.01023E-05	0.000892116	
TNFSF9	-1.144037165	2.86675507	19.48595838	1.01342E-05	0.000892116	
CYGB	1.496669962	2.824592013	19.46690219	1.02358E-05	0.000895633	
ERO1A	-0.657638978	5.986609893	19.43292928	1.04195E-05	0.000896174	
SLC46A2	-1.071466321	5.694211718	19.42999956	1.04355E-05	0.000896174	
IL10	-2.187254366	0.266233751	19.4265009	1.04546E-05	0.000896174	
GCLM	-0.799136911	4.189577443	19.42027136	1.04888E-05	0.000896174	
MAPKAPK3	-0.912494295	5.720892805	19.40706202	1.05616E-05	0.000897117	
ATP6V1A	-0.644992554	6.819256188	19.39007012	1.0656E-05	0.000899872	
RYR3	2.994101072	1.109820647	19.36795396	1.07801E-05	0.000905092	
LOC788997	1.263531151	1.95782212	19.34451747	1.09132E-05	0.000906045	
EMID1	1.248966008	4.903145739	19.34399331	1.09162E-05	0.000906045	
GATA6	-2.292093022	0.316815265	19.32459045	1.10277E-05	0.000909105	
CTSH	-0.90980071	8.020979182	19.31585657	1.10783E-05	0.000909105	
LARP6	1.61450631	1.570588353	19.25862537	1.14153E-05	0.000931505	
GBP2	-1.602873688	7.390036554	19.24059281	1.15237E-05	0.000935092	
MEIS1	-1.865927512	2.316891455	19.22417423	1.16232E-05	0.000937929	
LDLRAD3	-1.363968934	3.172303556	19.16957695	1.19604E-05	0.00095981	
STAB1	1.33794555	4.393878176	19.08011439	1.25344E-05	0.001000343	
RRAGD	1.584428444	1.360466611	19.04530119	1.27652E-05	0.001013192	
LOC511531	-1.928707163	7.051233327	18.98855586	1.31505E-05	0.001037633	
C1R	-2.583354672	5.578831335	18.97907719	1.3216E-05	0.001037633	
GNS	-0.618843973	6.638383718	18.91092106	1.36966E-05	0.001069589	
FCGR3A	-1.662672638	8.13367585	18.87851854	1.39313E-05	0.001082094	
LOC785752	1.242051204	2.269815392	18.86398336	1.40378E-05	0.001084571	
PRKRA	1.372679094	3.106435831	18.84501486	1.41781E-05	0.001089615	
GATA3	1.051079661	6.292856443	18.83299137	1.42678E-05	0.001090734	
TXNDC16	-1.277875145	2.949554404	18.80203278	1.45012E-05	0.001102778	
GPC1	0.856208397	4.353471687	18.78688101	1.46169E-05	0.001105785	
SPTSSA	-0.812659435	5.06968275	18.76044434	1.48209E-05	0.00111541	
GLB1L3	1.501540075	2.257495386	18.7177324	1.51566E-05	0.001134795	
LOC104974542	1.348891904	4.020910397	18.5069314	1.69288E-05	0.001260975	
LOC616782	1.44285066	5.072799748	18.47178742	1.72438E-05	0.00127789	
CHST1	0.958662488	4.55880826	18.25898082	1.92815E-05	0.001421477	
TMBIM1	-0.934138703	5.58279973	18.24955601	1.93771E-05	0.001421477	
SGCE	1.909745669	0.717666561	18.21144098	1.97688E-05	0.001429903	
PILRA	-0.890306244	7.221057959	18.20663283	1.98187E-05	0.001429903	
LOC100848072	-2.758477845	0.944649664	18.20577851	1.98276E-05	0.001429903	
TRPC1	1.232913674	2.469316568	18.19365621	1.99542E-05	0.001429903	
CFAP74	1.787653804	0.80886729	18.18723652	2.00216E-05	0.001429903	
LOC526745	-2.811701561	-0.737070007	18.18144154	2.00826E-05	0.001429903	
LOC781710	-1.967296457	6.291360255	18.13379068	2.05915E-05	0.001455736	
MAGED4B	0.916322461	4.540830626	18.12876518	2.06459E-05	0.001455736	
DHRS4	-0.964897327	4.422938631	18.11264098	2.08215E-05	0.001461022	
CD300LB	-1.246129705	4.577198928	18.09627313	2.10012E-05	0.001466551	
ADAMDEC1	1.939576323	4.992595781	18.07621784	2.12236E-05	0.001474988	
LOC617785	-1.428350878	4.620169357	18.06406764	2.13595E-05	0.001477362	
PBX1	1.59388733	3.200291888	18.01057961	2.19681E-05	0.001512257	
NXN	0.96613328	3.861614046	17.97765974	2.23513E-05	0.001522461	
TMEM51	-1.885336711	3.011767992	17.97376453	2.23971E-05	0.001522461	
ZFYVE28	1.641849678	5.235246664	17.97090333	2.24308E-05	0.001522461	
CCR2	-0.863867268	6.881039074	17.84648766	2.39461E-05	0.001617753	
SORBS3	-1.393574408	2.337084482	17.83450078	2.40974E-05	0.001620439	
TM6SF2	-3.691558407	-1.229268972	17.81824626	2.43041E-05	0.001624795	
CXCR4	0.941796373	6.663221439	17.81185573	2.43859E-05	0.001624795	
DRAM2	-0.607653604	6.305514324	17.79902728	2.45509E-05	0.001628317	
CCBE1	2.297391093	0.257157905	17.74200422	2.52979E-05	0.001670233	
LOC107132439	-2.826029227	6.247369406	17.72643491	2.55057E-05	0.001673236	
JAM3	1.188055894	3.543958168	17.7157698	2.56491E-05	0.001673236	
SARS	-0.897747643	9.03500906	17.71282122	2.56889E-05	0.001673236	
FAM171B	1.515892328	2.358722403	17.63579641	2.67506E-05	0.001734371	
TIMP2	-0.940007417	6.546606747	17.62758323	2.68663E-05	0.001734371	
CTSS	-1.000946417	9.389701482	17.49999527	2.87308E-05	0.001846529	
FLOT2	-0.608064761	5.864491114	17.46447603	2.92727E-05	0.001873064	
LAMTOR2	-0.930279979	5.778325564	17.449278	2.95076E-05	0.001876686	
BCL2L15	-1.410323106	6.078961234	17.4381071	2.96815E-05	0.001876686	
BAK1	-0.848587132	6.19675797	17.42944758	2.98171E-05	0.001876686	
LOC504861	-1.291757856	3.641229696	17.42577834	2.98747E-05	0.001876686	
LOC101904685	-2.513103236	4.532658154	17.41938774	2.99753E-05	0.001876686	
CXCL16	-1.053645685	4.298783974	17.33428045	3.13481E-05	0.001947206	
LOC751804	1.124891779	8.000666064	17.33296307	3.13698E-05	0.001947206	
AGMAT	-1.419406092	3.379352364	17.18624096	3.38882E-05	0.002094579	
CDK14	1.159914283	4.914287448	17.16753415	3.42236E-05	0.002103289	
KLK1	1.825340122	-0.145845781	17.16225983	3.43187E-05	0.002103289	
BPNT1	-0.595913273	5.124854668	17.13776591	3.47641E-05	0.002108517	
NR4A1	-1.317976702	3.333354517	17.13443134	3.48252E-05	0.002108517	
NUDT10	1.693344723	0.315692373	17.13365172	3.48395E-05	0.002108517	
CA5B	0.873929687	4.670640304	16.95261861	3.83244E-05	0.002300491	
ASAH1	-0.639383828	6.600603716	16.95242519	3.83283E-05	0.002300491	
CFB	-2.237063799	1.954633525	16.92954003	3.87932E-05	0.00231067	
MUC15	2.406508298	0.097463557	16.92841996	3.88161E-05	0.00231067	
LOC515828	1.094361384	8.0482748	16.91475647	3.90965E-05	0.00231146	
C23H6orf141	-1.23304477	2.879843204	16.91227429	3.91476E-05	0.00231146	
HAVCR2	0.756920936	5.045063809	16.84800577	4.04959E-05	0.00237676	
TSKU	1.551049058	1.191105296	16.84402819	4.05808E-05	0.00237676	
SLC12A7	-1.181942623	6.709555669	16.81855694	4.11291E-05	0.00239421	
OLFM4	1.759607376	1.142645009	16.81490209	4.12084E-05	0.00239421	
PF4	-2.616818608	9.772202596	16.73526608	4.29747E-05	0.002476292	
CTTNBP2NL	-1.4702127	3.169896999	16.73232535	4.30414E-05	0.002476292	
PYCARD	-0.989345763	5.676014908	16.72830508	4.31327E-05	0.002476292	
KCNJ2	1.362009686	5.258039682	16.67500428	4.43617E-05	0.002536824	
CADPS2	-1.351957096	2.30320533	16.65832469	4.47535E-05	0.002549193	
YARS	-0.486825142	5.664442128	16.63993957	4.51894E-05	0.002563966	
ADPGK	-0.531806763	5.066257155	16.60845167	4.59458E-05	0.002596743	
RIPK2	-0.47321434	5.412155171	16.59600963	4.62482E-05	0.002603703	
STK3	-0.843898409	4.051710266	16.58311238	4.65638E-05	0.002611349	
LOC513969	1.744012253	2.119087356	16.55371574	4.72912E-05	0.002641943	
VDAC1	-0.601430714	6.258446572	16.54065416	4.76181E-05	0.002650011	
MMP14	-2.359022729	-0.02624977	16.51721062	4.82105E-05	0.002672737	
TBC1D16	1.303626579	1.430699101	16.48640916	4.90001E-05	0.002706182	
HES4	-1.963337523	4.056079303	16.42936062	5.0497E-05	0.002778291	
TCF7L2	-1.479280999	2.924604033	16.41145626	5.09762E-05	0.002794073	
TNFSF13B	-1.449477649	1.496598441	16.39594496	5.13951E-05	0.00280197	
SRL	-2.253856289	0.679547525	16.39185492	5.15061E-05	0.00280197	
VSTM2L	1.203726131	4.194854261	16.38303974	5.17462E-05	0.002804528	
TRPM4	1.55851459	0.520304692	16.36482066	5.2246E-05	0.00282109	
LOC107131330	-2.565734641	1.525699837	16.32710647	5.32961E-05	0.002867134	
GIMAP2	0.904327981	6.188103012	16.27331909	5.48306E-05	0.002938799	
LOC104974750	-2.52114581	6.582236381	16.1349536	5.89853E-05	0.003149858	
SGPP1	-0.616492154	5.773089762	16.07051422	6.10269E-05	0.003246943	
KCNIP3	1.305769991	2.988216291	16.04137875	6.19732E-05	0.003285256	
ZNF8	-0.979664714	5.293227199	15.93790341	6.54547E-05	0.0034572	
MITF	-0.85625136	5.366016053	15.91185388	6.63618E-05	0.003492409	
SYCP1	1.456512955	1.237466179	15.82899757	6.93318E-05	0.003625146	
WC1-8	2.077522345	4.889108416	15.82759574	6.93832E-05	0.003625146	
TLR5	-1.482537589	2.931022586	15.81647202	6.97923E-05	0.00363345	
C10H15orf48	-1.315029661	6.731864776	15.80055015	7.0382E-05	0.003643424	
PDE9A	1.189948071	2.532135655	15.79777023	7.04855E-05	0.003643424	
SP6	-2.035930258	-0.272722653	15.77682547	7.12702E-05	0.003670919	
ZP3	0.981062734	3.071421429	15.74023735	7.2662E-05	0.003729382	
TBC1D9	-1.09935899	5.388812438	15.72537357	7.32352E-05	0.003745566	
LOC100298870	1.599941305	0.980061916	15.69672189	7.43529E-05	0.00378939	
HHLA2	-3.513973988	0.990236339	15.68503716	7.48137E-05	0.003799541	
LOC101905134	1.51122236	2.992557353	15.66800782	7.54903E-05	0.003820548	
FRZB	2.21710992	0.710084711	15.64507691	7.64112E-05	0.003853727	
SPG20	-1.189137816	3.589644841	15.60867971	7.78962E-05	0.003915025	
SRXN1	-1.779992624	6.924625915	15.58424928	7.89092E-05	0.003952262	
LOC101905296	1.004675735	4.308893336	15.56909186	7.95443E-05	0.003953437	
RNF207	1.61884952	1.065929372	15.56798885	7.95907E-05	0.003953437	
LOC104974758	-2.200856839	4.40551339	15.5622163	7.98341E-05	0.003953437	
LOC512486	-1.382838246	8.046800806	15.55778672	8.00214E-05	0.003953437	
CLIC4	-0.78033914	5.479775831	15.54666491	8.04935E-05	0.003963283	
ITPRIPL1	-0.70417287	5.214082512	15.52217398	8.15431E-05	0.004001397	
LOC104972052	-2.309674317	3.593430767	15.49653789	8.26565E-05	0.004042153	
PROKR1	-1.103002698	3.444552222	15.49028879	8.29302E-05	0.004042153	
EBI3	-1.245276113	1.741488417	15.46565474	8.40181E-05	0.004081483	
LOC506088	-1.112306845	5.798754365	15.44361503	8.50036E-05	0.004100482	
LOC104976500	-1.843969435	3.524169843	15.43739556	8.52838E-05	0.004100482	
SALL2	1.18360304	2.561041819	15.43356674	8.54568E-05	0.004100482	
PLEKHH1	1.091828104	3.110567428	15.43176174	8.55385E-05	0.004100482	
PTPRO	-1.757357805	1.900139995	15.40747221	8.6645E-05	0.00412298	
CALD1	-1.993820928	6.278880467	15.40312298	8.68446E-05	0.00412298	
LOC104971979	2.584437492	-0.451192008	15.40280353	8.68593E-05	0.00412298	
ACP2	-0.775759216	6.099092826	15.36109123	8.87981E-05	0.004201279	
LOC107131726	1.738681596	1.448031125	15.34115439	8.97401E-05	0.004216252	
LOC101906110	1.221810731	1.306628462	15.3399629	8.97967E-05	0.004216252	
VTCN1	-3.006351914	1.708799866	15.33403358	9.0079E-05	0.004216252	
MRC2	1.897738597	0.38573209	15.32991281	9.02757E-05	0.004216252	
LOC101905590	-1.055346705	2.645903924	15.29871427	9.1779E-05	0.004272722	
LMNB1	-0.65573324	6.678382836	15.26780213	9.32933E-05	0.004317545	
CMPK2	-1.455687799	5.278751673	15.26580612	9.33919E-05	0.004317545	
CD300LG	-5.6367325	1.01721123	15.26092659	9.36335E-05	0.004317545	
TRGC6	1.420118094	4.815423067	15.23235717	9.50606E-05	0.00436948	
MAPK11	-2.709572448	-0.576250296	15.2255806	9.54023E-05	0.004371353	
DMD	1.53831829	1.114515754	15.19885374	9.67621E-05	0.004419717	
GMPR	-1.62233011	3.640150349	15.16398726	9.85654E-05	0.004487971	
MT2A	-1.633810841	2.227570522	15.15409522	9.90832E-05	0.004497447	
FKBP15	-0.476836502	6.455796522	15.13773309	9.99456E-05	0.004520996	
KCTD1	0.991293648	3.58045736	15.12347949	0.000100703	0.004520996	
TUBB1	-1.853117426	10.42199027	15.12230549	0.000100766	0.004520996	
TRIM47	-1.46501107	3.729396374	15.1207815	0.000100847	0.004520996	
ZNF853	1.216440426	1.396603658	15.10151878	0.000101881	0.00455331	
ANKRD31	1.839094885	4.041024763	15.08559948	0.000102744	0.004577785	
LOC104973494	1.537204568	3.456439107	15.05888052	0.000104209	0.004628846	
KCNK13	0.920147176	3.495044606	15.01801869	0.00010649	0.004715734	
CABIN1	0.686869827	6.288005847	15.00767791	0.000107075	0.004718471	
RBMS2	0.799528812	3.663003335	15.00283851	0.00010735	0.004718471	
ZCCHC14	-1.439012815	1.427123534	14.99974131	0.000107526	0.004718471	
MDK	0.975469847	3.512315925	14.98311569	0.000108477	0.004745888	
LOC104976912	1.35421522	2.59463973	14.96111063	0.00010975	0.004787139	
TET1	1.062855747	3.739392883	14.91178006	0.000112657	0.004894125	
UPB1	-1.463563313	2.045762774	14.90811233	0.000112877	0.004894125	
LACTB	-0.682359193	5.573165364	14.88242478	0.000114424	0.004940209	
IL20RA	-2.84040462	-0.339706416	14.87860955	0.000114656	0.004940209	
TPC3	-1.939143536	4.785465914	14.87361483	0.00011496	0.004940209	
KIT	1.145687993	3.962607194	14.84921323	0.000116457	0.004989772	
LTBR	-0.969915816	4.393457136	14.82589676	0.000117905	0.005036983	
LOC100337296	-1.852563516	5.10495609	14.77028261	0.000121434	0.005172528	
LOC782367	-1.67934742	3.419289333	14.75986227	0.000122107	0.005185984	
LOC104971894	2.126659016	-0.289439896	14.72312044	0.00012451	0.005258853	
CMAS	-0.599953594	6.46010674	14.72256091	0.000124547	0.005258853	
ZFP37	1.153684068	1.736346583	14.70589931	0.000125653	0.005290158	
INPP5E	0.798484745	3.612632102	14.65525337	0.000129074	0.005418513	
MT1E	-1.760438571	0.371760188	14.52757567	0.000138123	0.005781656	
CHP1	-0.811070877	6.134706002	14.51590039	0.000138982	0.005800881	
NCALD	1.031483742	5.423769446	14.50294201	0.000139941	0.005824185	
CD7	0.889174298	4.916767751	14.46493047	0.000142793	0.005903466	
SHF	1.611986442	1.699774718	14.46404109	0.000142861	0.005903466	
