genes	logFC	logCPM	LR	PValue	FDR								
CKB	1.659910192	5.677452102	42.71939813	6.32E-11	1.91E-08								
SLC34A3	-1.968282318	1.665350281	41.89394182	9.64E-11	2.86E-08								
LOC521214	2.434525518	1.803729335	41.80017273	1.01E-10	2.94E-08								
TMC1	2.777847394	1.706901156	41.4077324	1.24E-10	3.52E-08								
ARHGAP32	3.574623264	0.140884197	40.88204984	1.62E-10	4.52E-08								
MAPK12	4.77609022	-1.000683681	40.47280744	1.99E-10	5.46E-08								
TNFSF9	1.411245446	2.86675507	40.35518615	2.12E-10	5.70E-08								
LOC101905590	1.458649888	2.645903924	39.14486484	3.93E-10	1.04E-07								
TMEM51	2.357675245	3.011767992	38.95224278	4.34E-10	1.13E-07								
LOC107131142	1.909190577	3.269838954	38.6503972	5.07E-10	1.26E-07								
NR1H3	1.510486839	4.812389096	38.64801561	5.08E-10	1.26E-07								
ZBP1	1.616821075	6.23651939	38.59994531	5.20E-10	1.26E-07								
CTSZ	1.16289279	7.35204552	38.59533137	5.21E-10	1.26E-07								
LOC526745	3.577052944	-0.737070007	38.43186831	5.67E-10	1.35E-07								
ASAH1	0.830009866	6.600603716	38.36149385	5.88E-10	1.38E-07								
LOC513659	1.879914069	5.967527727	37.98442525	7.13E-10	1.64E-07								
CYFIP1	1.115168341	5.580657971	37.75739683	8.01E-10	1.82E-07								
FKBP15	0.651699953	6.455796522	37.69032051	8.29E-10	1.85E-07								
IL27	1.927506997	2.085557486	37.54836516	8.92E-10	1.96E-07								
WARS	1.048040848	8.266830842	37.15059046	1.09E-09	2.37E-07								
TBC1D9	1.444546276	5.388812438	37.05657515	1.15E-09	2.45E-07								
LY86	0.947551914	6.969601794	37.00689445	1.18E-09	2.48E-07								
ACP2	1.034980594	6.099092826	36.91849542	1.23E-09	2.56E-07								
DBN1	-1.23201788	4.284832086	36.65121785	1.41E-09	2.89E-07								
SOX4	-1.183196741	4.269798005	36.61122939	1.44E-09	2.91E-07								
C3AR1	1.967160298	3.53766983	36.463767	1.56E-09	3.09E-07								
LOC100335205	-1.227239941	7.904511434	36.4218423	1.59E-09	3.12E-07								
LOC100300760	-1.920754109	3.090606444	36.33495228	1.66E-09	3.22E-07								
ANKRD31	-2.719244719	4.041024763	36.20887067	1.77E-09	3.39E-07								
LOC617785	1.715455878	4.620169357	36.07277588	1.90E-09	3.59E-07								
ERO1A	0.771211856	5.986609893	35.96033267	2.01E-09	3.75E-07								
ITGA5	-0.934448732	5.855837951	35.82756198	2.16E-09	3.95E-07								
GJA10	2.661287251	3.494379481	35.81090739	2.17E-09	3.95E-07								
ADGRL1	-1.305582862	4.778287593	35.64254806	2.37E-09	4.25E-07								
ACSL5	0.800756902	7.478633066	35.33098476	2.78E-09	4.93E-07								
PILRA	1.060379187	7.221057959	35.13380941	3.08E-09	5.39E-07								
LOC508153	0.65736172	6.916617889	34.79816843	3.66E-09	6.32E-07								
CD180	1.262172039	5.485122009	34.42217319	4.44E-09	7.58E-07								
BLK	-1.325397314	7.709878835	34.3159858	4.69E-09	7.91E-07								
LOC104975694	-1.222450072	5.263196132	34.14748751	5.11E-09	8.53E-07								
CD72	0.805235876	5.14914425	34.12481413	5.17E-09	8.53E-07								
PPARGC1B	1.241972514	4.643336432	33.96161167	5.62E-09	9.07E-07								
HES4	2.384999965	4.056079303	33.96105172	5.62E-09	9.07E-07								
MVB12B	-0.982827498	5.144069857	33.89766558	5.81E-09	9.27E-07								
CLIC4	0.986903834	5.479775831	33.60155443	6.76E-09	1.07E-06								
IL7	1.230233556	2.95610131	33.47677422	7.21E-09	1.12E-06								
GNB4	1.332252776	4.721248711	33.45115478	7.31E-09	1.12E-06								
SVIL	-0.831858222	5.865943087	33.44329694	7.34E-09	1.12E-06								
SLC46A2	1.198925376	5.694211718	33.41120206	7.46E-09	1.13E-06								
JAM3	-1.478609384	3.543958168	33.20331571	8.30E-09	1.24E-06								
LOC789229	-0.9504774	6.672477189	33.04136716	9.02E-09	1.34E-06								
MOCOS	1.807379409	4.038328837	32.82872018	1.01E-08	1.48E-06								
LOC100847159	-1.495436402	4.858912795	32.76456306	1.04E-08	1.51E-06								
ATP6V1A	0.722620245	6.819256188	32.74996899	1.05E-08	1.51E-06								
TFEC	1.274278918	5.50018966	32.71562681	1.07E-08	1.52E-06								
EPHX1	-1.224161206	4.679091522	32.6299077	1.11E-08	1.57E-06								
GSR	0.844383828	5.671176859	32.38438562	1.26E-08	1.77E-06								
SLC6A4	2.3564786	5.356713449	32.23357709	1.37E-08	1.87E-06								
SKAP2	1.023275421	7.519053642	32.232977	1.37E-08	1.87E-06								
AGMAT	1.648203505	3.379352364	32.15309771	1.42E-08	1.93E-06								
AIF1	1.650237844	7.237339148	32.14230076	1.43E-08	1.93E-06								
WC-7	-1.655222833	5.604553295	31.90130169	1.62E-08	2.15E-06								
FXYD7	-1.778246024	1.500414969	31.89201291	1.63E-08	2.15E-06								
CCR5	1.511457094	3.284439782	31.60084311	1.89E-08	2.48E-06								
MPEG1	1.01138371	8.460912202	31.57891243	1.91E-08	2.48E-06								
PLXNB1	-1.368340803	2.636471925	31.45306455	2.04E-08	2.63E-06								
PTPRS	-1.068477269	3.890499545	31.17683142	2.36E-08	3.00E-06								
TMBIM1	1.044860335	5.58279973	31.14258243	2.40E-08	3.03E-06								
SLC16A1	0.759864462	5.695143042	31.10192759	2.45E-08	3.07E-06								
HMGCS1	0.731976632	6.758791718	31.08232588	2.47E-08	3.07E-06								
PCYT1A	0.667605605	5.917683724	31.05790712	2.50E-08	3.08E-06								
PSAP	1.002838395	10.51494386	30.90931346	2.70E-08	3.30E-06								
NAALADL1	-1.984658509	1.689129058	30.83032415	2.82E-08	3.41E-06								
CYBB	1.195658818	8.773529373	30.76392281	2.91E-08	3.50E-06								
TIMP2	1.059766107	6.546606747	30.58575751	3.19E-08	3.80E-06								
CROT	1.451698995	4.191722065	30.44436345	3.44E-08	4.06E-06								
TPC3	2.335246935	4.785465914	30.31649543	3.67E-08	4.30E-06								
LOC104975876	3.195559981	-0.618776722	30.29966537	3.70E-08	4.30E-06								
MBOAT1	0.588943923	6.212749	30.28551857	3.73E-08	4.30E-06								
LOC512286	1.12613666	6.024792214	30.20636583	3.88E-08	4.44E-06								
PNP	1.146685071	7.68996729	30.12836667	4.04E-08	4.59E-06								
SOX13	-1.36231615	7.19278241	30.10116098	4.10E-08	4.62E-06								
GATA6	2.38561758	0.316815265	29.97783318	4.37E-08	4.88E-06								
COX7C	1.200024726	6.068836204	29.95740019	4.42E-08	4.90E-06								
SORBS3	1.526889959	2.337084482	29.9085527	4.53E-08	4.98E-06								
ARHGAP5	1.349639588	3.275998881	29.70913208	5.02E-08	5.48E-06								
MAPK11	3.206908333	-0.576250296	29.55243042	5.44E-08	5.90E-06								
C1R	2.65628315	5.578831335	29.42014836	5.83E-08	6.27E-06								
SLC12A7	1.32961	6.709555669	29.38028791	5.95E-08	6.35E-06								
CTSS	1.105173508	9.389701482	29.22511043	6.44E-08	6.83E-06								
PTPRO	2.052354363	1.900139995	29.21239805	6.49E-08	6.83E-06								
LOC100337081	0.960425039	5.489733321	29.16222345	6.66E-08	6.96E-06								
LOC751804	-1.328708181	8.000666064	29.01383477	7.19E-08	7.46E-06								
EMID1	-1.395027702	4.903145739	28.96363684	7.37E-08	7.60E-06								
LOC100847951	-1.954773771	3.554172111	28.88586211	7.68E-08	7.82E-06								
MAPKAPK3	0.952524879	5.720892805	28.88114205	7.70E-08	7.82E-06								
CD7	-1.135186745	4.916767751	28.81257387	7.97E-08	8.04E-06								
PYGM	-1.54277417	4.027457581	28.78514908	8.09E-08	8.10E-06								
TICAM2	0.694691503	4.920529429	28.68550255	8.51E-08	8.46E-06								
TBC1D8	1.178990798	6.516910171	28.67358081	8.57E-08	8.46E-06								
DHRS4	1.035826251	4.422938631	28.60703613	8.87E-08	8.70E-06								
IL17RC	1.29945795	3.182942815	28.54197409	9.17E-08	8.94E-06								
DENND2A	2.696824117	3.156976919	28.47960751	9.47E-08	9.17E-06								
GPBAR1	1.920381285	3.294067605	28.42127656	9.76E-08	9.39E-06								
LOC104971180	2.051272554	1.265553482	28.38911429	9.92E-08	9.48E-06								
ID1	2.533611454	1.50969594	28.31896414	1.03E-07	9.77E-06								
LOC511531	1.960448025	7.051233327	28.1247023	1.14E-07	1.07E-05								
MAGED4B	-1.027605637	4.540830626	28.06523715	1.17E-07	1.10E-05								
LOC100337090	-1.455392749	4.737733104	28.01516772	1.20E-07	1.12E-05								
HIST1H2BD	1.091205674	4.146007885	27.92204482	1.26E-07	1.17E-05								
CXCL16	1.140579133	4.298783974	27.91428063	1.27E-07	1.17E-05								
ACE	2.251507098	2.494433375	27.8384296	1.32E-07	1.20E-05								
FAM188A	2.189982809	9.410700764	27.71809833	1.40E-07	1.27E-05								
SH2D1B	1.561032711	4.215745402	27.62613324	1.47E-07	1.33E-05								
C3H1orf54	1.399314988	2.769724205	27.43660859	1.62E-07	1.45E-05								
DRAM2	0.650715669	6.305514324	27.42635644	1.63E-07	1.45E-05								
CCL19	2.700896961	-1.084668401	27.32062556	1.72E-07	1.52E-05								
GRAMD1C	0.985600954	5.250236304	27.32052772	1.72E-07	1.52E-05								
MITF	0.961988586	5.366016053	27.30977966	1.73E-07	1.52E-05								
CD276	-1.538026414	3.239533629	27.21104893	1.82E-07	1.59E-05								
TRPC3	2.307176621	0.141558901	27.19204061	1.84E-07	1.59E-05								
S1PR1	-0.690253818	7.82709338	27.09513085	1.94E-07	1.66E-05								
TNFSF13B	1.570366678	1.496598441	26.97882301	2.06E-07	1.76E-05								
STK3	0.920118749	4.051710266	26.89882794	2.14E-07	1.82E-05								
SPG20	1.327790451	3.589644841	26.81887928	2.23E-07	1.89E-05								
FDFT1	0.622684482	6.47204291	26.78665837	2.27E-07	1.91E-05								
LYSMD2	0.859209981	3.419457144	26.75178012	2.31E-07	1.92E-05								
SPTSSA	0.831487491	5.06968275	26.74900265	2.32E-07	1.92E-05								
CDKN1A	1.246781423	4.708208802	26.72954124	2.34E-07	1.93E-05								
CDC42BPB	1.833714936	1.633964794	26.70491062	2.37E-07	1.95E-05								
CALD1	2.19210485	6.278880467	26.56395651	2.55E-07	2.08E-05								
LOC104976500	2.033119007	3.524169843	26.54633657	2.57E-07	2.08E-05								
CDADC1	0.61486256	6.262860532	26.54317221	2.58E-07	2.08E-05								
FZD2	2.941526875	-0.930415678	26.43205118	2.73E-07	2.18E-05								
ZC3H12C	0.964211862	4.385017217	26.43156308	2.73E-07	2.18E-05								
NLRC4	1.232550121	5.17357279	26.27775382	2.96E-07	2.35E-05								
SSBP3	-0.666642859	6.045690842	26.21752818	3.05E-07	2.40E-05								
HIGD1A	0.680441832	5.338763619	26.20968494	3.06E-07	2.40E-05								
SLC2A6	1.135387658	5.740496275	26.20035348	3.08E-07	2.40E-05								
ATP1B3	0.704999651	6.379471161	26.13521318	3.18E-07	2.47E-05								
TPM1	0.949465274	4.35008965	26.09326404	3.25E-07	2.51E-05								
PAM	1.101800759	6.736538438	26.04952319	3.33E-07	2.56E-05								
FCGR3A	1.637309139	8.13367585	25.99638559	3.42E-07	2.61E-05								
CPOX	0.841170774	4.584315193	25.97210837	3.46E-07	2.63E-05								
PPM1E	1.353196671	2.099896107	25.8765692	3.64E-07	2.75E-05								
CENPV	-0.978111026	4.543397904	25.72139376	3.94E-07	2.95E-05								
ADAM17	0.560054652	6.040894591	25.71811645	3.95E-07	2.95E-05								
LOC781710	1.952646588	6.291360255	25.71192405	3.96E-07	2.95E-05								
BCL2A1	0.771046982	5.423460876	25.67172225	4.05E-07	3.00E-05								
C2	2.727497134	5.753894694	25.56590644	4.28E-07	3.15E-05								
SASH1	2.480361476	-0.161968256	25.54468102	4.32E-07	3.17E-05								
VASH1	1.316077528	4.266766438	25.50447351	4.41E-07	3.22E-05								
TRIM47	1.610725936	3.729396374	25.4818804	4.47E-07	3.24E-05								
EBI3	1.35749697	1.741488417	25.40927612	4.64E-07	3.35E-05								
MSRB3	1.250249314	2.432693799	25.3623514	4.75E-07	3.42E-05								
CRYBG3	1.564499512	1.664676995	25.30845435	4.89E-07	3.49E-05								
GBP4	1.285007418	5.251115209	25.30137905	4.90E-07	3.49E-05								
C10H15orf48	1.409326945	6.731864776	25.24690658	5.04E-07	3.57E-05								
LACTB	0.763901013	5.573165364	25.14624076	5.31E-07	3.75E-05								
STXBP6	1.249870414	2.612719276	25.05018862	5.59E-07	3.92E-05								
NRP1	1.17666805	5.715970373	24.93611152	5.93E-07	4.13E-05								
CMPK2	1.572522705	5.278751673	24.93111715	5.94E-07	4.13E-05								
AASS	0.990873197	3.455537078	24.88425139	6.09E-07	4.21E-05								
ADRB3	2.421630228	1.010483787	24.86460862	6.15E-07	4.23E-05								
ADPGK	0.561130734	5.066257155	24.82303796	6.28E-07	4.31E-05								
CFB	2.246478228	1.954633525	24.77032104	6.46E-07	4.40E-05								
LRRC25	1.245083221	4.406986689	24.72784592	6.60E-07	4.47E-05								
MERTK	2.226175665	2.874309569	24.72258206	6.62E-07	4.47E-05								
HK3	0.81449444	7.758640834	24.65495752	6.86E-07	4.61E-05								
SARS	0.905321386	9.03500906	24.57978242	7.13E-07	4.77E-05								
CSF1R	0.963576021	7.433254975	24.50343063	7.42E-07	4.92E-05								
NOXA1	-1.048271303	3.830882749	24.50095495	7.43E-07	4.92E-05								
TM6SF2	3.347320028	-1.229268972	24.492964	7.46E-07	4.92E-05								
SH3GLB1	0.640867536	5.742802903	24.42488506	7.73E-07	5.08E-05								
SCARF1	0.925279241	4.141675154	24.36867007	7.96E-07	5.20E-05								
NCAM2	-2.348808925	1.94938584	24.35419905	8.02E-07	5.20E-05								
GNS	0.605374788	6.638383718	24.35229358	8.02E-07	5.20E-05								
LOC104973604	-2.844254533	0.268303988	24.30440874	8.23E-07	5.31E-05								
MEIS1	1.73060731	2.316891455	24.29718043	8.26E-07	5.31E-05								
MAP4K2	-0.663576509	7.654619491	24.25510598	8.44E-07	5.40E-05								
RIPK2	0.494116133	5.412155171	24.22569648	8.57E-07	5.43E-05								
HSD17B12	0.842177818	6.007267358	24.21860564	8.60E-07	5.43E-05								
LOC790312	1.075166429	4.159409086	24.21638793	8.61E-07	5.43E-05								
LOC100848407	-1.339403207	1.947490725	24.21051874	8.64E-07	5.43E-05								
LMNB1	0.710733653	6.678382836	24.16783903	8.83E-07	5.53E-05								
PDE3A	1.897945894	2.559547731	24.14252523	8.95E-07	5.58E-05								
LOC101907799	2.593830032	4.109778818	24.05290425	9.37E-07	5.80E-05								
TOM1L1	1.564831776	4.751374886	24.04424497	9.41E-07	5.80E-05								
NR4A1	1.320482904	3.333354517	24.04221521	9.42E-07	5.80E-05								
RASSF4	1.057706527	5.235409932	23.94850161	9.89E-07	6.06E-05								
PEG10	-1.645417991	1.974941433	23.91286205	1.01E-06	6.15E-05								
ADGRG6	1.804984547	0.30254953	23.86578096	1.03E-06	6.25E-05								
TSPYL2	-0.590700851	5.212561644	23.85958296	1.04E-06	6.25E-05								
SALL2	-1.331964863	2.561041819	23.85778124	1.04E-06	6.25E-05								
WNT5A	-1.991774674	4.554726945	23.83081203	1.05E-06	6.31E-05								
LOC101903951	1.984122906	-0.000839854	23.77965687	1.08E-06	6.46E-05								
ZSCAN2	-1.062839306	2.274242858	23.76011189	1.09E-06	6.50E-05								
LOC101904916	1.836797842	0.878017287	23.74387563	1.10E-06	6.52E-05								
STOM	1.011329328	7.384702249	23.72945526	1.11E-06	6.53E-05								
GNG11	1.97521208	8.684368105	23.72620309	1.11E-06	6.53E-05								
ID3	-1.214151984	6.338745304	23.67930922	1.14E-06	6.67E-05								
PRKCD	0.746786286	6.553027931	23.56837842	1.21E-06	7.03E-05								
TRIM21	0.58271395	6.123746844	23.54276559	1.22E-06	7.09E-05								
LOC100847999	-1.813331821	0.371054857	23.53712032	1.23E-06	7.09E-05								
LOC107131161	-1.843536991	1.172130618	23.48321474	1.26E-06	7.23E-05								
ITGAE	-0.571706106	5.279078313	23.48079905	1.26E-06	7.23E-05								
LOC526769	1.461814246	1.997474451	23.47713021	1.26E-06	7.23E-05								
LOC521224	1.292048077	3.633424705	23.41916373	1.30E-06	7.42E-05								
PDLIM1	2.070957472	6.610288561	23.37637437	1.33E-06	7.54E-05								
PTGS2	1.374615797	1.7270833	23.37332269	1.33E-06	7.54E-05								
CPED1	1.450260075	2.453069476	23.20790563	1.45E-06	8.19E-05								
SRL	2.222807516	0.679547525	23.16885342	1.48E-06	8.32E-05								
VDAC1	0.613518164	6.258446572	23.14914906	1.50E-06	8.37E-05								
SERPINE1	1.028357998	6.024757127	23.09995718	1.54E-06	8.53E-05								
CSPG4	-1.631184835	2.779534932	23.09399138	1.54E-06	8.53E-05								
CD83	0.985546965	4.154375411	23.09163643	1.54E-06	8.53E-05								
GNA15	0.625198524	5.423368082	23.03011566	1.59E-06	8.77E-05								
BAG3	0.74548235	4.453968194	23.02027166	1.60E-06	8.79E-05								
GBP2	1.468713359	7.390036554	22.95825313	1.66E-06	9.04E-05								
COLGALT1	0.619023264	6.524409848	22.84445436	1.76E-06	9.53E-05								
CYGB	-1.478197009	2.824592013	22.84214962	1.76E-06	9.53E-05								
HR	-1.30915905	1.546162047	22.82002743	1.78E-06	9.61E-05								
FAM117A	-0.589109616	6.152486955	22.81041891	1.79E-06	9.62E-05								
LOC504861	1.249143407	3.641229696	22.73740246	1.86E-06	9.94E-05								
CHST1	-0.963746405	4.55880826	22.73369422	1.86E-06	9.94E-05								
TGM3	-2.18903319	7.768308849	22.70688132	1.89E-06	0.000100393								
AIFM3	-1.609455632	2.457049289	22.65525036	1.94E-06	0.000102432								
HDAC7	-0.667735979	6.685062041	22.65421889	1.94E-06	0.000102432								
TCF7	-0.743735091	8.159113608	22.56613761	2.03E-06	0.000106849								
TRIM58	1.632725327	4.318638945	22.53834535	2.06E-06	0.000108015								
ATP11A	0.885619906	5.443583491	22.48655947	2.12E-06	0.000110567								
BPNT1	0.587760556	5.124854668	22.45234128	2.15E-06	0.000112151								
PLXND1	1.532877697	4.364082706	22.40794322	2.20E-06	0.000113671								
LOC107132439	2.57973745	6.247369406	22.40277462	2.21E-06	0.000113671								
LOC101905296	-1.089036439	4.308893336	22.3993179	2.21E-06	0.000113671								
PLAGL2	0.660518035	5.354235275	22.39914586	2.21E-06	0.000113671								
HACD2	0.702976408	4.311182998	22.36299783	2.26E-06	0.000115423								
LOC788334	1.469578799	6.036210078	22.31895296	2.31E-06	0.000117513								
CTSH	0.836307456	8.020979182	22.30916652	2.32E-06	0.000117513								
LOC104970840	1.398960936	3.069085628	22.30602831	2.32E-06	0.000117513								
IDH1	0.872505977	5.13900859	22.2970329	2.34E-06	0.000117513								
STAB1	-1.315390526	4.393878176	22.29501438	2.34E-06	0.000117513								
LOC104970698	1.762261396	0.644609365	22.25440662	2.39E-06	0.000119299								
INPP5E	-0.879405574	3.612632102	22.25280462	2.39E-06	0.000119299								
LOC785752	-1.217761736	2.269815392	22.22625224	2.42E-06	0.000120426								
SCAMP1	0.617647675	5.736943069	22.2148295	2.44E-06	0.000120426								
BCL2L15	1.34287842	6.078961234	22.21144955	2.44E-06	0.000120426								
TCF7L2	1.446850533	2.924604033	22.20854882	2.45E-06	0.000120426								
TNRC6C	-0.680440221	6.53623165	22.19419566	2.46E-06	0.000120919								
MX2	2.240128193	7.011065532	22.16369922	2.50E-06	0.000122159								
CADPS2	1.314673923	2.30320533	22.16169071	2.51E-06	0.000122159								
DHRS7	1.277120664	5.924042447	22.0169575	2.70E-06	0.000130884								
MSMO1	0.609444819	6.12231786	22.01641623	2.70E-06	0.000130884								
LOC101904579	1.31348539	3.749690546	21.97696381	2.76E-06	0.000133158								
TLR2	0.82980115	6.377198986	21.94764063	2.80E-06	0.000134761								
OCIAD2	0.756326299	4.379442554	21.91896399	2.84E-06	0.000136338								
LOC101906694	2.250957038	5.365721341	21.89576335	2.88E-06	0.000137543								
QKI	0.683596299	6.410369308	21.84915287	2.95E-06	0.000140462								
CTSC	0.884037746	8.1841893	21.81837227	3.00E-06	0.000142267								
ABAT	1.325582595	3.045523307	21.73813275	3.13E-06	0.00014786								
ZNF672	0.978581233	3.408796655	21.72378644	3.15E-06	0.000148486								
GCLM	0.721987222	4.189577443	21.67431641	3.23E-06	0.000151872								
LOC100847780	1.326626867	2.654574614	21.64333513	3.28E-06	0.000153847								
ARHGEF9	-1.380387403	1.843770696	21.63105797	3.30E-06	0.000154337								
SSBP4	-0.65472687	5.659444464	21.57862272	3.40E-06	0.000158107								
TULP2	-1.063861339	2.141545994	21.54709913	3.45E-06	0.000160213								
TCTN1	-1.051669429	4.310236968	21.45504555	3.62E-06	0.000167556								
WC1-8	-2.257022184	4.889108416	21.37541365	3.78E-06	0.000173861								
EHD4	1.082491635	3.45208144	21.37078861	3.78E-06	0.000173861								
PROKR1	1.100225005	3.444552222	21.36098228	3.80E-06	0.000173861								
ZP3	-1.027988979	3.071421429	21.35621949	3.81E-06	0.000173861								
CCDC86	0.66675945	4.429552698	21.35393228	3.82E-06	0.000173861								
ZNF462	-1.261438719	4.318100341	21.29982468	3.93E-06	0.00017828								
GATA3	-1.009247963	6.292856443	21.27407935	3.98E-06	0.000180127								
IDO1	1.212255338	8.463868153	21.2657306	4.00E-06	0.000180352								
AK2	0.532844771	6.522143453	21.24059851	4.05E-06	0.000182166								
MIB2	-0.572245525	5.398507474	21.20506097	4.13E-06	0.000185002								
AKAP7	0.824657951	3.964375798	21.16841106	4.21E-06	0.000187994								
CYTH3	-0.700374774	4.617563051	21.13973764	4.27E-06	0.000190243								
AQP9	1.358703215	3.478530324	21.07834395	4.41E-06	0.000195836								
MT2A	1.609353602	2.227570522	21.05545304	4.46E-06	0.000197585								
LOC100298870	-1.682054705	0.980061916	21.00746125	4.57E-06	0.000201981								
ARMC12	-0.835658169	4.046587334	20.99800811	4.60E-06	0.000202026								
HMOX1	1.040883261	5.218417397	20.99278038	4.61E-06	0.000202026								
PXDN	-2.446632178	0.795654694	20.98963773	4.62E-06	0.000202026								
CDC42BPG	-0.755222051	3.926750874	20.9711126	4.66E-06	0.000203377								
PPP1R9A	1.249753764	2.938247669	20.94996912	4.71E-06	0.000203869								
SNX15	0.835656148	3.947667885	20.94777719	4.72E-06	0.000203869								
RSAD2	2.222160263	5.59539718	20.94392227	4.73E-06	0.000203869								
CA5B	-0.873490066	4.670640304	20.94360859	4.73E-06	0.000203869								
KIAA0226L	-0.6773265	6.707562387	20.93298872	4.76E-06	0.000204395								
CD1E	1.241263026	3.959670981	20.89016344	4.86E-06	0.0002084								
ZFYVE28	-1.623083666	5.235246664	20.8530913	4.96E-06	0.000211848								
DOCK7	0.964367582	3.425484508	20.82871275	5.02E-06	0.000213338								
ZCCHC14	1.428994405	1.427123534	20.8284323	5.02E-06	0.000213338								
PROM1	-1.609195078	1.897094844	20.79574767	5.11E-06	0.000216183								
PAQR8	0.612722415	4.735292521	20.79189558	5.12E-06	0.000216183								
C28H10orf107	-1.446268399	1.941259677	20.77429581	5.17E-06	0.000217236								
IVD	0.514146844	6.413804622	20.77148107	5.17E-06	0.000217236								
TXNL4B	0.678903187	5.162597747	20.75181514	5.23E-06	0.000218411								
PBX4	1.321249654	2.809228859	20.75011597	5.23E-06	0.000218411								
NCALD	-1.116673364	5.423769446	20.72338699	5.31E-06	0.000220551								
BOLA-DRA	0.746087204	10.4212445	20.72046743	5.31E-06	0.000220551								
ARHGAP17	0.625144701	6.987456467	20.705145	5.36E-06	0.000221565								
IL10	1.822726083	0.266233751	20.70077312	5.37E-06	0.000221565								
OLR1	0.988502158	5.235787302	20.66557804	5.47E-06	0.000225036								
ACSL6	0.725640565	6.676192315	20.63653535	5.55E-06	0.00022783								
MPP1	0.72805918	6.82421027	20.62326057	5.59E-06	0.000228769								
LAMA4	-1.490016103	4.569183726	20.58494405	5.70E-06	0.000232739								
NPHP1	0.753643277	4.084036938	20.54811574	5.82E-06	0.000236595								
SEMA3B	-1.741807354	0.772082886	20.51749961	5.91E-06	0.000239357								
