genes	logFC	logCPM	LR	PValue	FDR			
NFE2L3	0.957107687	5.707097712	16.85521383	4.03424E-05	0.01515917			
PSAP	0.708829112	10.5213626	16.64498911	4.50692E-05	0.016201702			
C16H1orf115	1.673648146	4.385884743	16.61876271	4.56967E-05	0.016201702			
C8H9orf72	0.716512274	5.03614824	16.58486696	4.65207E-05	0.016201702			
CXCL10	1.780709199	3.971494335	16.4575941	4.97505E-05	0.016286527			
RAB7B	1.671486513	4.26571863	16.45189571	4.99003E-05	0.016286527			
TFEC	0.893307336	5.503224636	16.42902426	5.05059E-05	0.016286527			
MMP14	2.686347238	-0.016705665	16.39846854	5.13267E-05	0.016286527			
LOC101902944	-2.978181877	-0.535148438	16.3434796	5.28376E-05	0.016401492			
DOCK7	0.76663627	3.435744861	16.22954793	5.61121E-05	0.017047324			
ENO3	1.278203702	5.165964848	16.16168837	5.81586E-05	0.017300963			
MAFB	0.966200937	5.881020136	16.09235278	6.03272E-05	0.017430685			
RAB39A	0.910232269	2.328771775	16.05673987	6.14724E-05	0.017430685			
ATP1A1	0.70711144	7.669550878	15.9523052	6.49586E-05	0.017430685			
UBE2G1	-0.753700327	7.590211571	15.94900919	6.50718E-05	0.017430685			
PLXND1	1.172849645	4.400480877	15.93493794	6.55574E-05	0.017430685			
TPM1	0.698177218	4.340604484	15.86644806	6.79732E-05	0.017430685			
TSPAN33	1.349773054	3.133780711	15.86120021	6.81619E-05	0.017430685			
CD27	-0.4630527	6.998322032	15.85569726	6.83604E-05	0.017430685			
MPEG1	0.709349973	8.465458865	15.81971081	6.96729E-05	0.017453674			
SH2D1B	1.147366651	4.225075607	15.73698493	7.2787E-05	0.017633584			
FDFT1	0.453199624	6.486463138	15.73161963	7.29937E-05	0.017633584			
FKBP15	0.445503715	6.460207068	15.7032721	7.40959E-05	0.017633584			
TRPC3	1.761546113	0.138570813	15.60088767	7.82179E-05	0.018309391			
CKB	1.151431576	5.666540568	15.53525249	8.09809E-05	0.018650425			
PPARGC1B	0.876514499	4.649715634	15.50331707	8.23606E-05	0.018667095			
PPP1R9A	0.954995099	2.947468145	15.46072069	8.42378E-05	0.018794233			
NRP1	0.873003779	5.735461706	15.40490356	8.67629E-05	0.019059797			
ACP2	0.712538167	6.105296004	15.30460398	9.14933E-05	0.019794426			
TNFSF9	0.979356699	2.891511073	15.25918744	9.37198E-05	0.019973499			
LOC100337044	1.280635325	3.346711977	15.16253006	9.86415E-05	0.020713269			
LOC617785	1.227418969	4.629565335	14.97338567	0.000109038	0.022564595			
CYBB	0.830434867	8.789184429	14.88462182	0.000114291	0.023313712			
HIST1H2BD	0.862261769	4.183665337	14.8209574	0.000118214	0.023528883			
SERPINE1	0.763857841	6.003912637	14.81415993	0.000118641	0.023528883			
APLP2	0.450849328	7.24249971	14.76888992	0.000121524	0.023770416			
PCYT1A	0.462667543	5.924592163	14.6081591	0.00013234	0.025507079			
PPM1E	1.047907569	2.124673431	14.58502304	0.000133975	0.025507079			
THEG	-5.433036759	-0.991126262	14.55439583	0.000136171	0.025583945			
AASS	0.713022539	3.471112641	14.50101103	0.000140084	0.025977458			
PECAM1	0.818138386	5.349978752	14.47555525	0.00014199	0.025993316			
LOC107131142	1.316977647	3.272272645	14.44442546	0.000144356	0.026091979			
PTGS2	1.112137099	1.763577779	14.36266734	0.000150762	0.026098926			
LOC101905590	1.041828299	2.699339906	14.35542698	0.000151343	0.026098926			
LOC101908403	1.342836585	2.5938049	14.35139492	0.000151667	0.026098926			
TPC3	1.704737494	4.816394427	14.35091364	0.000151706	0.026098926			
DIRAS3	-1.514180493	0.12157655	14.3010824	0.000155775	0.026479943			
LOC516742	0.977764713	3.390825639	14.19052519	0.0001652	0.027751701			
P2RY6	1.627781569	3.823100905	14.02267801	0.000180619	0.029989066			
SKAP2	0.69266176	7.515736788	13.99761741	0.000183042	0.030042102			
LOC788334	1.095123824	6.069760612	13.97336304	0.000185419	0.030086343			
TBC1D9	0.992149836	5.392064489	13.94680868	0.000188057	0.030171468			
SASH1	1.902289475	-0.112233651	13.86886874	0.000196019	0.03078383			
LOC101906823	-1.807003182	0.053307394	13.86434063	0.000196492	0.03078383			
NAMPT	0.469212618	5.836691143	13.84673468	0.000198341	0.03078383			
STX2	0.849187555	6.272975701	13.81803818	0.000201393	0.030921468			
CLIC4	0.649737397	5.483359956	13.77216169	0.000206372	0.030931819			
MX2	1.668352688	7.002411503	13.75820197	0.000207911	0.030931819			
FAR2	1.277739376	3.452376101	13.74482515	0.000209397	0.030931819			
TBC1D8	0.817246409	6.51602341	13.73639959	0.000210338	0.030931819			
ASAH1	0.562832034	6.621152257	13.70197146	0.000214229	0.030931819			
ATP6V1B2	0.624213539	7.161154091	13.6999666	0.000214458	0.030931819			
FXYD7	-1.057817746	1.514754826	13.5664779	0.000230261	0.03264198			
PTPRO	1.49155482	1.963245065	13.54921137	0.000232389	0.03264198			
SLC46A2	0.797104466	5.712725233	13.54288789	0.000233173	0.03264198			
CLIP1	0.586959463	7.039169295	13.51757139	0.00023634	0.032764077			
MSRB3	0.876662427	2.444007142	13.48828082	0.000240058	0.032922713			
TMC1	2.017611709	1.755583803	13.47242101	0.000242096	0.032922713			
PILRA	0.700428655	7.221395324	13.34540064	0.000259057	0.034725556			
SNX10	1.023590774	7.961936921	13.33702595	0.000260217	0.034725556			
RASSF4	0.743259945	5.267425106	13.29076374	0.000266717	0.035222803			
ADGRG6	1.333206917	0.298943294	13.2684374	0.000269912	0.035222803			
EFNB1	0.724237459	3.069839334	13.24987042	0.000272599	0.035222803			
LOC526745	2.754330583	-0.714479741	13.23707581	0.000274466	0.035222803			
LOC107132962	1.369049933	3.200717507	13.22474965	0.000276277	0.035222803			
PLCD3	1.85801307	-0.624521062	13.15291861	0.000287072	0.035314621			
ADAP2	0.955835418	3.101849321	13.14927423	0.000287631	0.035314621			
LOC513659	1.301391476	6.014869	13.14486585	0.000288308	0.035314621			
OPTN	0.694029297	5.410041561	13.14131613	0.000288855	0.035314621			
HK3	0.567603625	7.769038119	13.13739213	0.00028946	0.035314621			
CRYBG3	1.13443383	1.69504243	13.12207945	0.000291836	0.035314621			
MGC139164	-0.417234335	8.009800911	13.09201136	0.000296558	0.035395757			
LOC614141	1.432041442	3.798144727	13.08629468	0.000297464	0.035395757			
LOC104974755	-1.588386659	-0.16805469	12.94961354	0.000319988	0.037725963			
SIGLEC1	1.398774364	2.069138246	12.93595229	0.000322331	0.037725963			
GJA10	1.892865925	3.487165572	12.91726818	0.000325565	0.037794616			
TXNL4B	0.481510118	5.180790416	12.86887095	0.000334093	0.037976149			
AGMAT	1.169645624	3.445523128	12.86420142	0.000334928	0.037976149			
WWC2	0.690203432	3.606997024	12.86319965	0.000335107	0.037976149			
ERO1A	0.499403168	5.99840177	12.82399334	0.000342203	0.038267466			
IDH1	0.6141584	5.138789788	12.81747009	0.000343398	0.038267466			
ZNF697	0.852054608	1.236461039	12.79706271	0.000347164	0.038267466			
STOM	0.704542472	7.388746225	12.77700796	0.000350906	0.038267466			
XDH	0.561095033	9.698358912	12.76785614	0.000352627	0.038267466			
LGALS8	0.587219904	5.615507802	12.75647742	0.000354778	0.038267466			
VASH1	0.913229629	4.240104555	12.74775028	0.000356438	0.038267466			
CALU	0.413077898	5.860210602	12.68837094	0.000367937	0.03869806			
LOC100847245	3.728624516	3.725947923	12.68585461	0.000368432	0.03869806			
CYP51A1	0.438112759	6.412571621	12.68511073	0.000368579	0.03869806			
JAKMIP3	0.490303402	4.630067115	12.63838911	0.000377905	0.039387681			
TICAM2	0.461320585	4.925985346	12.58938566	0.000387944	0.040140922			
CHN2	-0.689607604	2.704408286	12.52103308	0.000402396	0.041298725			
C2	1.99960477	5.785199433	12.50936215	0.000404918	0.041298725			
HACD2	0.49290275	4.320327618	12.4802128	0.000411285	0.041650662			
CD1E	0.882596365	3.991013136	12.44379342	0.000419383	0.042171631			
QKI	0.473794261	6.409044825	12.35891989	0.000438885	0.043587354			
LOC100847780	0.943874115	2.660577008	12.35601846	0.000439567	0.043587354			
ZNF414	-0.567506525	4.816978303	12.33525125	0.000444484	0.04365246			
STXBP6	0.908002063	2.640525263	12.32421995	0.000447119	0.04365246			
LOC107133157	1.703637764	-0.162596001	12.31474114	0.000449395	0.04365246			
CDADC1	0.427872006	6.279452067	12.25067328	0.00046509	0.044442522			
IL17RC	0.889800442	3.171625407	12.24743539	0.000465898	0.044442522			
LOC104976500	1.415622328	3.538746878	12.24356315	0.000466866	0.044442522			
SCIMP	0.863884594	5.664135031	12.22839393	0.000470677	0.044508586			
TMTC4	0.41747399	4.674514074	12.18772422	0.00048105	0.04519025			
ABAT	0.94117503	3.071383036	12.17315169	0.000484823	0.045246994			
LOC104968753	-0.938157136	2.480481125	12.1329633	0.000495383	0.045932336			
FRMD4B	0.506266751	4.393943881	12.11977887	0.000498898	0.045959789			
NLRC4	0.845846028	5.206772789	12.07480953	0.000511077	0.046779912			
NUPR1	2.555509504	4.521816914	12.06288273	0.000514357	0.046780272			
C1R	1.92249476	5.655336086	12.04333838	0.000519778	0.046974114			
LAP3	1.135954128	8.007382882	11.96539262	0.000541978	0.048663187			
LOC101903951	1.465154206	0.025655213	11.9434397	0.000548401	0.048663187			
GLT1D1	-1.085157631	2.158692409	11.94245264	0.000548692	0.048663187			
CXHXorf65	-0.667016341	2.409522255	11.8917659	0.000563826	0.049696773			
