genes	logFC	logCPM	LR	PValue	FDR						
IL27	2.372212886	2.085557486	54.95227991	1.23E-13	4.08E-11						
MT2A	2.694459805	2.227570522	54.76826009	1.36E-13	4.38E-11						
CD86	1.256199744	5.915243836	54.68770958	1.41E-13	4.46E-11						
TCTN1	-1.710457611	4.310236968	54.38547299	1.65E-13	5.09E-11						
GPHN	1.542001872	4.302751857	54.10288309	1.90E-13	5.76E-11						
ATP1B3	1.015188283	6.379471161	53.95430108	2.05E-13	6.08E-11						
LDLRAD3	1.9796914	3.172303556	53.65483578	2.39E-13	6.94E-11						
MTHFD2	0.929000884	4.769103627	53.3041504	2.86E-13	8.14E-11						
SNX10	1.710406963	7.940153364	53.1051248	3.16E-13	8.83E-11						
LOC104973494	-2.798051142	3.456439107	53.04997865	3.25E-13	8.91E-11						
LOC526745	4.579579469	-0.737070007	52.74087293	3.81E-13	1.02E-10						
TSPAN33	1.973800036	3.119596352	52.52617222	4.25E-13	1.12E-10						
P2RY1	1.791234372	5.1008191	52.24512532	4.90E-13	1.27E-10						
C16H1orf115	2.453029205	4.323125536	52.15955386	5.12E-13	1.29E-10						
C3AR1	2.363412467	3.53766983	52.1429553	5.16E-13	1.29E-10						
ACSL5	0.973918535	7.478633066	52.08018985	5.33E-13	1.31E-10						
SCIMP	1.254931658	5.657015308	51.44880418	7.35E-13	1.77E-10						
LOC781710	2.833521628	6.291360255	51.42721182	7.43E-13	1.77E-10						
SAMD4A	1.670277343	2.448646143	50.56597301	1.15E-12	2.70E-10						
MITF	1.312247886	5.366016053	50.19557282	1.39E-12	3.21E-10						
GNS	0.869175806	6.638383718	50.05919572	1.49E-12	3.39E-10						
ATP1A1	1.007750437	7.652319083	49.81040222	1.69E-12	3.78E-10						
LOC511531	2.653623593	7.051233327	49.54572137	1.94E-12	4.27E-10						
TRAFD1	0.859398701	6.847974209	49.11787183	2.41E-12	5.17E-10						
PIP4K2A	0.955111308	7.532761728	49.10828726	2.42E-12	5.17E-10						
LOC508153	0.780674242	6.916617889	48.86342611	2.74E-12	5.78E-10						
LOC101906105	3.485982074	-0.775875193	48.7401808	2.92E-12	6.06E-10						
ANXA3	1.354594993	7.863875211	48.6351564	3.08E-12	6.31E-10						
STXBP6	1.76156506	2.612719276	48.35104942	3.56E-12	7.17E-10						
CSF1R	1.359434687	7.433254975	48.32838885	3.60E-12	7.17E-10						
SLC12A7	1.714566762	6.709555669	48.17827362	3.89E-12	7.64E-10						
IL17RC	1.705488865	3.182942815	47.69112398	4.99E-12	9.66E-10						
CROT	1.785706108	4.191722065	47.61341384	5.19E-12	9.92E-10						
UNC5A	-4.868532968	-0.253674618	46.85419646	7.65E-12	1.44E-09						
ACP2	1.167681383	6.099092826	46.69585002	8.29E-12	1.54E-09						
ZCCHC14	2.189168487	1.427123534	46.335835	9.96E-12	1.83E-09						
HHLA2	5.415212203	0.990236339	46.11848573	1.11E-11	2.02E-09						
TESK2	1.101674459	4.151841364	45.72451977	1.36E-11	2.44E-09						
NME8	3.532764885	1.078880566	45.65506882	1.41E-11	2.50E-09						
IL12B	-2.605489494	1.542624618	45.59486709	1.45E-11	2.54E-09						
IVD	0.76438024	6.413804622	45.48527672	1.54E-11	2.64E-09						
FLOT2	0.849129036	5.864491114	45.477441	1.54E-11	2.64E-09						
RPS6KA2	-0.992894851	5.156084343	45.44055791	1.57E-11	2.66E-09						
ACVRL1	1.528756897	5.550365238	45.18293612	1.79E-11	3.00E-09						
STX2	1.284900555	6.276796708	45.05690407	1.91E-11	3.16E-09						
MYOF	1.782298936	5.699686237	44.78751089	2.20E-11	3.58E-09						
GPBAR1	2.445074084	3.294067605	44.59671098	2.42E-11	3.91E-09						
KYNU	1.179110864	5.8248913	44.55409759	2.47E-11	3.95E-09						
ASAH1	0.894593799	6.600603716	44.42248539	2.65E-11	4.18E-09						
CHCHD10	2.417617946	1.203175007	44.27729479	2.85E-11	4.45E-09						
GJA10	2.893179584	3.494379481	44.18220995	2.99E-11	4.62E-09						
SHISA5	1.129066715	6.312710484	44.03907569	3.22E-11	4.91E-09						
COX7C	1.461566385	6.068836204	44.02115851	3.25E-11	4.91E-09						
FZD2	4.040971563	-0.930415678	43.89565024	3.46E-11	5.19E-09						
TPC3	2.857382992	4.785465914	43.82713147	3.59E-11	5.32E-09						
CTTNBP2NL	2.036278127	3.169896999	43.04418771	5.35E-11	7.85E-09						
DYNLL1	1.119429455	6.849104896	42.89320643	5.78E-11	8.37E-09						
AXL	2.453561405	2.312338981	42.88038604	5.82E-11	8.37E-09						
DENND2A	3.252381692	3.156976919	42.66082204	6.51E-11	9.27E-09						
AGMAT	1.90429243	3.379352364	42.52891346	6.96E-11	9.82E-09						
LOC616782	-2.049834173	5.072799748	42.44122521	7.28E-11	1.02E-08						
LOC100335205	-1.325875858	7.904511434	42.15971856	8.41E-11	1.16E-08						
ELANE	-2.814970078	1.709114317	42.13732779	8.51E-11	1.17E-08						
GLRX2	1.273955434	4.674657701	41.92198349	9.50E-11	1.29E-08						
LTBR	1.399119614	4.393457136	41.87046144	9.75E-11	1.31E-08						
KIAA1211L	-2.740154338	4.81050463	41.52821099	1.16E-10	1.55E-08						
HAVCR2	-1.079261964	5.045063809	41.23022498	1.35E-10	1.79E-08						
LOC101903157	2.044423328	3.463616017	41.1113099	1.44E-10	1.88E-08						
HIST1H1D	1.65826607	3.845257712	41.03860601	1.49E-10	1.94E-08						
LGALS9	0.946673159	8.188392816	40.60342659	1.86E-10	2.40E-08						
LOC785168	-1.978314955	6.659279849	40.5753615	1.89E-10	2.41E-08						
LOC107131142	1.959143999	3.269838954	40.38420399	2.09E-10	2.62E-08						
LOC783613	1.145234644	6.316668485	40.38002253	2.09E-10	2.62E-08						
CLIC4	1.06872295	5.479775831	40.08776891	2.43E-10	3.00E-08						
ARHGAP17	0.871373603	6.987456467	40.07896534	2.44E-10	3.00E-08						
MMP14	3.179780547	-0.02624977	39.93903002	2.62E-10	3.20E-08						
LOC101905734	-1.680146586	1.823242806	39.87442653	2.71E-10	3.26E-08						
FCGR3A	2.045541727	8.13367585	39.86395823	2.72E-10	3.26E-08						
PREB	0.754122208	5.955769477	39.8500152	2.74E-10	3.26E-08						
AKAP7	1.137247723	3.964375798	39.8077507	2.80E-10	3.30E-08						
PADI4	-1.686226638	5.721634568	39.79007004	2.83E-10	3.30E-08						
DOCK4	1.540511243	3.879709176	39.78157176	2.84E-10	3.30E-08						
CMKLR1	2.06917051	3.411239774	39.70742011	2.95E-10	3.40E-08						
FKBP4	0.876174142	6.005747112	39.63707366	3.06E-10	3.50E-08						
LOC784058	1.127887307	6.200098717	39.53487531	3.22E-10	3.66E-08						
CNDP2	0.976908135	6.953134648	39.45419519	3.36E-10	3.78E-08						
SLC16A1	0.8573026	5.695143042	39.30767669	3.62E-10	4.04E-08						
TM6SF2	4.56935584	-1.229268972	39.09331013	4.04E-10	4.48E-08						
LOC515150	-2.684865698	3.890631576	39.0161464	4.20E-10	4.63E-08						
HPGD	-2.820795339	3.693580539	38.96106585	4.32E-10	4.72E-08						
MAP2	1.590374425	5.098550339	38.93418451	4.38E-10	4.75E-08						
LOC107133121	1.545469875	2.321371401	38.92038227	4.41E-10	4.75E-08						
CCR2	1.094481761	6.881039074	38.79664335	4.70E-10	5.02E-08						
ERO1A	0.803150626	5.986609893	38.64249597	5.09E-10	5.40E-08						
PAQR8	0.842664086	4.735292521	38.53491354	5.38E-10	5.66E-08						
TIMP2	1.186193561	6.546606747	38.42002172	5.70E-10	5.96E-08						
HRH2	-1.585165928	5.93805073	38.08559416	6.77E-10	7.00E-08						
SDHAF2	0.958402266	6.035845136	38.07725972	6.80E-10	7.00E-08						
NR1H3	1.501863568	4.812389096	38.04270812	6.92E-10	7.05E-08						
MOV10	0.763213104	6.359217613	38.03663196	6.94E-10	7.05E-08						
LOC504861	1.62859509	3.641229696	37.89948825	7.45E-10	7.51E-08						
LOC101905447	1.140956907	5.943385553	37.77425133	7.94E-10	7.96E-08						
LGMN	0.966130485	7.526297392	37.48007501	9.24E-10	9.19E-08						
TRIM21	0.735942548	6.123746844	37.35453879	9.85E-10	9.73E-08						
RBM3	-0.952188289	6.989067299	37.10803525	1.12E-09	1.10E-07						
HIST1H2BD	1.250803321	4.146007885	36.98505522	1.19E-09	1.16E-07						
ADPGK	0.691103216	5.066257155	36.92894833	1.23E-09	1.19E-07						
MERTK	2.751501364	2.874309569	36.6394709	1.42E-09	1.37E-07						
MVP	0.904304199	7.231338098	36.26405342	1.72E-09	1.65E-07						
MOCOS	1.901590335	4.038328837	36.20912315	1.77E-09	1.68E-07						
LOC104968436	-1.421749657	4.271695729	36.19214226	1.79E-09	1.69E-07						
MAPK6	0.755026183	6.135791263	36.16139751	1.82E-09	1.70E-07						
TMEM51	2.274179342	3.011767992	36.14777572	1.83E-09	1.70E-07						
MOB1B	0.897183787	5.767530431	36.11950345	1.86E-09	1.72E-07						
CD300LB	1.503545503	4.577198928	36.09768079	1.88E-09	1.73E-07						
PECAM1	1.093384915	5.353353834	36.00846345	1.96E-09	1.79E-07						
LOC101903126	2.239478765	8.575936976	35.99768258	1.98E-09	1.79E-07						
CYFIP1	1.091905623	5.580657971	35.96726386	2.01E-09	1.81E-07						
CRLF2	2.680639917	3.125777181	35.93607179	2.04E-09	1.83E-07						
CFAP69	2.927469138	1.116670941	35.71070108	2.29E-09	2.04E-07						
CPNE5	-2.483393563	0.580735848	35.617078	2.40E-09	2.13E-07						
ATP8B4	1.27776453	6.074277486	35.58830258	2.44E-09	2.14E-07						
LOC104973604	-3.491413423	0.268303988	35.5825168	2.44E-09	2.14E-07						
EPHX2	1.265335409	4.080130396	35.52594507	2.52E-09	2.17E-07						
BCL2L15	1.708811734	6.078961234	35.52547132	2.52E-09	2.17E-07						
HIGD1A	0.795453934	5.338763619	35.52140451	2.52E-09	2.17E-07						
MAPKAPK3	1.058799789	5.720892805	35.44398222	2.62E-09	2.24E-07						
PLCB3	0.885471468	4.947781493	35.23414523	2.92E-09	2.48E-07						
CNTLN	1.479099913	2.086002951	35.1718571	3.02E-09	2.55E-07						
PYCARD	1.226004013	5.676014908	35.11412734	3.11E-09	2.61E-07						
LOC104975876	3.407494925	-0.618776722	35.06413898	3.19E-09	2.66E-07						
DMBT1	4.887639993	2.207879564	35.01839441	3.27E-09	2.71E-07						
C2	3.249319767	5.753894694	34.94125297	3.40E-09	2.80E-07						
POR	0.675031516	5.556641779	34.86942404	3.53E-09	2.89E-07						
ALOX5	-3.376026586	3.125677876	34.69502617	3.86E-09	3.15E-07						
TRIM14	0.760491739	5.423404134	34.67563296	3.89E-09	3.16E-07						
CRAT	0.747407308	5.122963164	34.66812219	3.91E-09	3.16E-07						
ALAS2	-4.867851652	4.194653449	34.50230026	4.26E-09	3.42E-07						
CCR5	1.586373663	3.284439782	34.49219951	4.28E-09	3.42E-07						
TMBIM1	1.099681481	5.58279973	34.43382384	4.41E-09	3.49E-07						
TTYH3	0.864918648	6.156870127	34.43101475	4.42E-09	3.49E-07						
CCRL2	1.867566618	2.939679148	34.29488326	4.74E-09	3.72E-07						
UST	1.018090749	4.694122442	34.2734815	4.79E-09	3.74E-07						
MIR223	-2.465034611	2.836962365	34.259834	4.82E-09	3.75E-07						
RNF19B	0.871220497	6.469965304	34.22536055	4.91E-09	3.77E-07						
GBP4	1.499829716	5.251115209	34.21796181	4.93E-09	3.77E-07						
KIAA0226L	-0.871309004	6.707562387	34.21471318	4.94E-09	3.77E-07						
MPEG1	1.052759932	8.460912202	34.16707117	5.06E-09	3.85E-07						
CPED1	1.769254726	2.453069476	34.1270083	5.16E-09	3.91E-07						
LOC515676	5.460822231	-0.334802278	34.11186817	5.20E-09	3.92E-07						
CMPK2	1.843188087	5.278751673	34.01754496	5.46E-09	4.08E-07						
GCLM	0.899865894	4.189577443	34.0050824	5.50E-09	4.08E-07						
SLC25A17	1.156951505	5.083096253	34.00029392	5.51E-09	4.08E-07						
CTSH	1.033707495	8.020979182	33.98821899	5.54E-09	4.09E-07						
EPSTI1	0.82437981	7.215634293	33.89545643	5.82E-09	4.27E-07						
LOC107131330	2.622082479	1.525699837	33.8098584	6.08E-09	4.42E-07						
PKLR	2.227447665	0.931471356	33.80648192	6.09E-09	4.42E-07						
ROR2	2.404783175	0.999513495	33.72917121	6.33E-09	4.58E-07						
CCDC86	0.845301321	4.429552698	33.71631795	6.38E-09	4.58E-07						
ZFYVE28	-2.104142147	5.235246664	33.63089623	6.66E-09	4.77E-07						
NLRC4	1.395337665	5.17357279	33.52678552	7.03E-09	5.00E-07						
ZP3	-1.33795634	3.071421429	33.46780936	7.25E-09	5.10E-07						
FKBP15	0.616411152	6.455796522	33.46533123	7.25E-09	5.10E-07						
SVIL	-0.836950382	5.865943087	33.46138492	7.27E-09	5.10E-07						
STEAP3	1.193663582	4.083727149	33.27130765	8.02E-09	5.60E-07						
DAAM1	0.777864903	5.266365506	33.1980828	8.32E-09	5.78E-07						
MROH5	-2.169009955	0.867851815	33.14758572	8.54E-09	5.89E-07						
SOX4	-1.133193163	4.269798005	33.145942	8.55E-09	5.89E-07						
SDC3	1.89975683	0.805537606	33.1086931	8.71E-09	5.97E-07						
PPARGC1B	1.230042006	4.643336432	33.10105906	8.75E-09	5.97E-07						
GPR34	-1.595301567	2.106313622	32.92943698	9.56E-09	6.49E-07						
PYGM	-1.672739083	4.027457581	32.87689967	9.82E-09	6.63E-07						
SASH1	2.891518209	-0.161968256	32.71279031	1.07E-08	7.18E-07						
TNFSF13B	1.749817737	1.496598441	32.69017161	1.08E-08	7.23E-07						
LOC100851913	2.623227159	4.449539141	32.62317908	1.12E-08	7.45E-07						
GATA6	2.556988186	0.316815265	32.60511496	1.13E-08	7.49E-07						
WDR35	-1.863831082	3.16985648	32.59188562	1.14E-08	7.51E-07						
LOC101904916	2.163038736	0.878017287	32.55749653	1.16E-08	7.61E-07						
DNASE1	-0.842653398	4.726691453	32.49154877	1.20E-08	7.83E-07						
CADPS2	1.616486522	2.30320533	32.33291268	1.30E-08	8.46E-07						
LOC101904836	3.779540675	-1.119423247	32.3097802	1.31E-08	8.52E-07						
VDAC1	0.726076109	6.258446572	32.21934175	1.38E-08	8.89E-07						
CKB	1.436020858	5.677452102	32.21062284	1.38E-08	8.89E-07						
IL1R1	-1.162520219	5.989710398	31.98711973	1.55E-08	9.90E-07						
ARHGAP32	3.047783345	0.140884197	31.98400576	1.55E-08	9.90E-07						
YARS	0.586173323	5.664442128	31.85245484	1.66E-08	1.06E-06						
DHRS4	1.099069765	4.422938631	31.79346562	1.71E-08	1.08E-06						
LOC101907799	3.020921878	4.109778818	31.71522942	1.79E-08	1.12E-06						
CCDC187	1.297261919	3.622110624	31.7066675	1.79E-08	1.12E-06						
C8H9orf72	0.895439303	5.027583668	31.68256991	1.82E-08	1.13E-06						
CDC42BPB	2.015850147	1.633964794	31.63240158	1.86E-08	1.16E-06						
CFB	2.54958136	1.954633525	31.61819655	1.88E-08	1.16E-06						
S1PR1	-0.747157436	7.82709338	31.54078839	1.95E-08	1.20E-06						
AKAP1	0.656224866	5.472402383	31.41199148	2.09E-08	1.28E-06						
JAM3	-1.445107484	3.543958168	31.30426785	2.21E-08	1.35E-06						
LGR6	-2.180682615	1.68433322	31.22341013	2.30E-08	1.40E-06						
ANKRD31	-2.496331794	4.041024763	31.17219763	2.36E-08	1.43E-06						
ACER3	1.25323118	4.070502239	31.16734456	2.37E-08	1.43E-06						
C5AR1	-1.391211687	7.560354641	31.15472444	2.38E-08	1.43E-06						
EMB	-1.308720583	6.466626312	31.05905337	2.50E-08	1.50E-06						
H4	2.150846476	1.078489299	30.95763069	2.64E-08	1.57E-06						
NOD1	1.16045581	4.275720771	30.86087857	2.77E-08	1.64E-06						
YPEL5	0.837952874	6.990925078	30.81881614	2.83E-08	1.67E-06						
IQCD	1.73630386	1.949175843	30.81612617	2.84E-08	1.67E-06						
EPHX1	-1.194353033	4.679091522	30.67527277	3.05E-08	1.79E-06						
COL5A3	3.836671999	-0.019376819	30.65292617	3.09E-08	1.80E-06						
CD180	1.189279335	5.485122009	30.63442747	3.12E-08	1.81E-06						
COLGALT1	0.718786681	6.524409848	30.61720942	3.14E-08	1.82E-06						
SLAMF8	2.939445667	2.247460538	30.57416201	3.21E-08	1.85E-06						
ADAMTS2	1.110591229	5.138436661	30.5568005	3.24E-08	1.86E-06						
CTSS	1.124070997	9.389701482	30.22096212	3.86E-08	2.20E-06						
LOC101905590	1.280982255	2.645903924	30.20975848	3.88E-08	2.21E-06						
PCYT1A	0.6593469	5.917683724	30.19726096	3.90E-08	2.21E-06						
LAMTOR2	1.045984532	5.778325564	30.12392922	4.05E-08	2.29E-06						
LOC100336669	1.410827233	5.21357927	30.10439404	4.09E-08	2.30E-06						
LOC101906463	-2.318865519	4.824892448	30.01016256	4.30E-08	2.41E-06						
STX18	0.667707681	4.434672761	29.94162458	4.45E-08	2.49E-06						
GPR4	-2.363677185	1.649835024	29.9260584	4.49E-08	2.50E-06						
BCL2A1	0.834766898	5.423460876	29.87017169	4.62E-08	2.56E-06						
LOC790312	1.190528192	4.159409086	29.84679058	4.68E-08	2.58E-06						
SLC6A4	2.241061805	5.356713449	29.81715044	4.75E-08	2.60E-06						
LOC101902172	1.140082752	4.367576357	29.81640747	4.75E-08	2.60E-06						
LOC521224	1.465555373	3.633424705	29.63015013	5.23E-08	2.86E-06						
IL10	2.210154557	0.266233751	29.58925444	5.34E-08	2.91E-06						
ABCA3	1.03736868	5.541915258	29.48278037	5.64E-08	3.06E-06						
LOC100297044	-2.384664872	4.926016544	29.36913696	5.98E-08	3.23E-06						
CALCOCO2	0.674679339	7.36427718	29.36437529	6.00E-08	3.23E-06						
IL1R2	-2.041261996	2.768161358	29.31858883	6.14E-08	3.29E-06						
COL18A1	-1.34532714	5.384191326	29.22508248	6.44E-08	3.44E-06						
MPV17L	2.595147209	0.182136851	29.15686796	6.67E-08	3.55E-06						
DRAM2	0.669991818	6.305514324	29.11718492	6.81E-08	3.61E-06						
RIMBP3B	2.851849947	-0.50177979	29.08640287	6.92E-08	3.66E-06						
ADM	3.806092236	-0.878990629	29.01764845	7.17E-08	3.77E-06						
LOC104972200	-2.52152148	1.489642033	28.94001613	7.47E-08	3.91E-06						
LYSMD1	1.335784168	4.377471905	28.76253519	8.18E-08	4.27E-06						
SYNJ2BP	0.881999229	5.295573695	28.72344403	8.35E-08	4.35E-06						
LOC783920	1.565079651	8.710369138	28.60079134	8.89E-08	4.61E-06						
ASGR2	2.605831377	0.337161551	28.58866003	8.95E-08	4.63E-06						
CXHXorf23	-0.79271717	5.006715291	28.5301116	9.23E-08	4.75E-06						
SLC2A6	1.186022923	5.740496275	28.49366858	9.40E-08	4.82E-06						
LOC104973832	2.361650687	0.994278189	28.4731376	9.50E-08	4.85E-06						
LOC509029	2.84787333	0.157495863	28.47063322	9.51E-08	4.85E-06						
FOXO4	-0.692151061	4.995234788	28.42944155	9.72E-08	4.94E-06						
GPR15	-0.956387293	4.267881472	28.38222255	9.96E-08	5.04E-06						
SOCS1	1.372918254	2.489796297	28.36542726	1.00E-07	5.07E-06						
LMNB1	0.77220162	6.678382836	28.32895422	1.02E-07	5.14E-06						
SLC15A1	1.301128141	2.263251699	28.24562754	1.07E-07	5.35E-06						
DERA	0.74019086	5.832726344	28.20242566	1.09E-07	5.45E-06						
IGSF8	1.012699991	5.194367004	28.17213895	1.11E-07	5.50E-06						
ARHGAP5	1.314053966	3.275998881	28.17129301	1.11E-07	5.50E-06						
TMEM106A	0.742370824	5.985861044	28.15657136	1.12E-07	5.53E-06						
ZNF672	1.123108326	3.408796655	28.14850308	1.12E-07	5.53E-06						
BATF2	3.564542384	4.481150969	28.10575912	1.15E-07	5.64E-06						
RIPK2	0.535911002	5.412155171	28.0482353	1.18E-07	5.79E-06						
FCGR1A	2.790219504	-0.879458165	28.0264766	1.20E-07	5.83E-06						
URI1	0.568471329	6.011230566	28.01730029	1.20E-07	5.84E-06						
HSPH1	0.840275073	5.868035285	28.01237482	1.21E-07	5.84E-06						
LOC101902838	2.711773916	3.189604983	27.91589153	1.27E-07	6.11E-06						
PARP10	0.843794976	6.880516055	27.84477134	1.31E-07	6.32E-06						
HRH1	1.716777148	2.581083317	27.8123004	1.34E-07	6.41E-06						
KLHL22	-0.893024159	7.336647969	27.79145849	1.35E-07	6.46E-06						
CMAS	0.708248065	6.46010674	27.77263906	1.36E-07	6.50E-06						
GBP2	1.617719571	7.390036554	27.72000583	1.40E-07	6.66E-06						
CD72	0.728875932	5.14914425	27.68523113	1.43E-07	6.73E-06						
SLC40A1	1.547936986	7.782280358	27.68473285	1.43E-07	6.73E-06						
SLC25A33	-1.154507382	4.380797902	27.67712746	1.43E-07	6.73E-06						
FAM20A	1.468024489	2.653461383	27.67345624	1.44E-07	6.73E-06						
LOC104976500	2.0769901	3.524169843	27.6129359	1.48E-07	6.92E-06						
LOC101904239	1.335740238	2.469647516	27.56958629	1.52E-07	7.06E-06						
FAM213A	-1.440850626	3.221353532	27.53089552	1.55E-07	7.17E-06						
ARHGEF12	0.999134432	4.285907229	27.51190671	1.56E-07	7.22E-06						
ADAM17	0.581547545	6.040894591	27.47258844	1.59E-07	7.35E-06						
UBE2V2	0.565495812	6.013631856	27.4525826	1.61E-07	7.40E-06						
RBPMS2	2.91256566	2.318177508	27.39371557	1.66E-07	7.60E-06						
ZPBP2	-0.796595711	5.216723098	27.38544818	1.67E-07	7.61E-06						
BAK1	0.911553811	6.19675797	27.3332324	1.71E-07	7.80E-06						
FAM188A	2.171806033	9.410700764	27.31819157	1.73E-07	7.83E-06						
PAM	1.12852644	6.736538438	27.27733029	1.76E-07	7.98E-06						
CIRBP	-0.8747551	6.9660392	27.17798143	1.86E-07	8.37E-06						
SCFD2	0.788727633	5.161546851	27.14943086	1.88E-07	8.47E-06						
GSR	0.768866321	5.671176859	27.08649513	1.95E-07	8.72E-06						
CHP1	0.95232804	6.134706002	27.08127018	1.95E-07	8.72E-06						
NPHP1	0.871247221	4.084036938	27.05602789	1.98E-07	8.81E-06						
SEC23A	0.682827894	5.404141109	27.01405766	2.02E-07	8.95E-06						
IL5RA	-2.719465156	2.278392588	27.01300484	2.02E-07	8.95E-06						
TRIM47	1.657818439	3.729396374	26.95737208	2.08E-07	9.18E-06						
SRSF5	-0.778007053	8.647221078	26.93932134	2.10E-07	9.24E-06						
LOC104970831	-1.830428597	1.698732862	26.79892541	2.26E-07	9.91E-06						
AIF1	1.498397379	7.237339148	26.64269947	2.45E-07	1.07E-05						
CLEC1B	3.240050516	1.673090972	26.56837981	2.54E-07	1.11E-05						
IMPDH1	0.810460975	5.090803975	26.56571615	2.55E-07	1.11E-05						
TNF	0.868468009	3.806178377	26.56117376	2.55E-07	1.11E-05						
OSBPL6	-1.201899179	4.562498499	26.501085	2.63E-07	1.14E-05						
GPER1	3.782749569	-0.704971367	26.48754077	2.65E-07	1.14E-05						
CRYBG3	1.618376419	1.664676995	26.44869155	2.71E-07	1.16E-05						
MX2	2.462713861	7.011065532	26.44734036	2.71E-07	1.16E-05						
LOC518134	-1.637018865	3.99254454	26.41725304	2.75E-07	1.18E-05						
LOC101906823	-3.355796785	0.097594686	26.38739323	2.79E-07	1.19E-05						
PNP	1.071499943	7.68996729	26.3580967	2.84E-07	1.20E-05						
PTPRO	1.938547141	1.900139995	26.32587841	2.88E-07	1.22E-05						
MAG	1.90714858	1.003774517	26.24180194	3.01E-07	1.27E-05						
TICAM2	0.669237134	4.920529429	26.23891177	3.02E-07	1.27E-05						
PLAC8	0.972783613	9.624676212	26.23012862	3.03E-07	1.27E-05						
PSAP	0.922340414	10.51494386	26.170683	3.13E-07	1.31E-05						
ATP1B1	-0.836026569	4.986301128	26.15394955	3.15E-07	1.32E-05						
ARSG	-2.850100867	5.986683307	26.12788062	3.20E-07	1.33E-05						
LIMS1	1.071995226	7.334846148	26.11959287	3.21E-07	1.33E-05						
LOC100848006	-1.519897198	4.853734445	26.10283063	3.24E-07	1.34E-05						
STX11	1.318593061	5.623731982	26.07428479	3.29E-07	1.36E-05						
RRAS	1.329438068	2.583173007	25.9192366	3.56E-07	1.46E-05						
TMEM150B	1.47062971	3.627012506	25.87299069	3.65E-07	1.50E-05						
STXBP3	0.632020347	6.330950664	25.84214898	3.71E-07	1.52E-05						
